stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_3_rep_0,gauss_True_count_3_rep_1,gauss_True_count_3_rep_2,gauss_True_count_3_rep_3,gauss_True_count_3_rep_4,gauss_True_count_3_rep_5,gauss_True_count_3_rep_6,gauss_True_count_3_rep_7,gauss_True_count_5_rep_0,gauss_True_count_5_rep_1,gauss_True_count_5_rep_2,gauss_True_count_5_rep_3,gauss_True_count_5_rep_4,gauss_True_count_5_rep_5,gauss_True_count_5_rep_6,gauss_True_count_5_rep_7,gauss_True_count_7_rep_0,gauss_True_count_7_rep_1,gauss_True_count_7_rep_2,gauss_True_count_7_rep_3,gauss_True_count_7_rep_4,gauss_True_count_7_rep_5,gauss_True_count_7_rep_6,gauss_True_count_7_rep_7,gauss_True_count_9_rep_0,gauss_True_count_9_rep_1,gauss_True_count_9_rep_2,gauss_True_count_9_rep_3,gauss_True_count_9_rep_4,gauss_True_count_9_rep_5,gauss_True_count_9_rep_6,gauss_True_count_9_rep_7,gauss_True_count_11_rep_0,gauss_True_count_11_rep_1,gauss_True_count_11_rep_2,gauss_True_count_11_rep_3,gauss_True_count_11_rep_4,gauss_True_count_11_rep_5,gauss_True_count_11_rep_6,gauss_True_count_11_rep_7,gauss_True_count_13_rep_0,gauss_True_count_13_rep_1,gauss_True_count_13_rep_2,gauss_True_count_13_rep_3,gauss_True_count_13_rep_4,gauss_True_count_13_rep_5,gauss_True_count_13_rep_6,gauss_True_count_13_rep_7,gauss_True_count_15_rep_0,gauss_True_count_15_rep_1,gauss_True_count_15_rep_2,gauss_True_count_15_rep_3,gauss_True_count_15_rep_4,gauss_True_count_15_rep_5,gauss_True_count_15_rep_6,gauss_True_count_15_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_3_rep_0,gauss_False_count_3_rep_1,gauss_False_count_3_rep_2,gauss_False_count_3_rep_3,gauss_False_count_3_rep_4,gauss_False_count_3_rep_5,gauss_False_count_3_rep_6,gauss_False_count_3_rep_7,gauss_False_count_5_rep_0,gauss_False_count_5_rep_1,gauss_False_count_5_rep_2,gauss_False_count_5_rep_3,gauss_False_count_5_rep_4,gauss_False_count_5_rep_5,gauss_False_count_5_rep_6,gauss_False_count_5_rep_7,gauss_False_count_7_rep_0,gauss_False_count_7_rep_1,gauss_False_count_7_rep_2,gauss_False_count_7_rep_3,gauss_False_count_7_rep_4,gauss_False_count_7_rep_5,gauss_False_count_7_rep_6,gauss_False_count_7_rep_7,gauss_False_count_9_rep_0,gauss_False_count_9_rep_1,gauss_False_count_9_rep_2,gauss_False_count_9_rep_3,gauss_False_count_9_rep_4,gauss_False_count_9_rep_5,gauss_False_count_9_rep_6,gauss_False_count_9_rep_7,gauss_False_count_11_rep_0,gauss_False_count_11_rep_1,gauss_False_count_11_rep_2,gauss_False_count_11_rep_3,gauss_False_count_11_rep_4,gauss_False_count_11_rep_5,gauss_False_count_11_rep_6,gauss_False_count_11_rep_7,gauss_False_count_13_rep_0,gauss_False_count_13_rep_1,gauss_False_count_13_rep_2,gauss_False_count_13_rep_3,gauss_False_count_13_rep_4,gauss_False_count_13_rep_5,gauss_False_count_13_rep_6,gauss_False_count_13_rep_7,gauss_False_count_15_rep_0,gauss_False_count_15_rep_1,gauss_False_count_15_rep_2,gauss_False_count_15_rep_3,gauss_False_count_15_rep_4,gauss_False_count_15_rep_5,gauss_False_count_15_rep_6,gauss_False_count_15_rep_7
n_records,2.16e-05,9.3e-06,1.08e-05,5.09e-05,1.5e-06,3.16e-05,1.46e-05,1.5e-06,2.47e-05,5.24e-05,2.39e-05,6.55e-05,0.0,1.2e-06,0.0001002,2.08e-05,6.48e-05,8e-07,4.86e-05,2.12e-05,3.35e-05,2.7e-06,2.7e-05,2.24e-05,5.86e-05,7.63e-05,4.24e-05,2.24e-05,1.97e-05,5e-06,7.55e-05,7.09e-05,8.5e-06,6.78e-05,1.73e-05,5.4e-05,3.24e-05,2.08e-05,7.09e-05,2e-05,3.9e-06,1.54e-05,8.9e-06,8.83e-05,5.47e-05,1.7e-05,2.7e-05,6.01e-05,6.2e-06,1e-05,2.66e-05,2.7e-05,0.0001064,5.2e-05,2.3e-06,4.32e-05,2.7e-06,8.94e-05,5.4e-05,2.12e-05,0.0001021,0.0001187,0.0001137,0.0001557,3.82e-05,6.24e-05,5.05e-05,8e-07,7.7e-06,3.08e-05,2.3e-06,1.5e-06,8e-07,0.000202,1.73e-05,0.0002305,1.9e-06,0.000195,5.01e-05,8.63e-05,5e-06,1.19e-05,0.0001303,0.0005047,3.08e-05,0.0002809,0.0002274,0.0001796,0.0007295,0.00038,0.0002798,0.0002606,0.0001781,2.51e-05,0.0001816,6.2e-06,6.4e-05,0.000281,0.0003861,0.0012623,0.0009693,0.0002127,1.31e-05,1.62e-05,0.0002189,0.0002907,3.9e-06,0.0002405,0.0006227,0.0002844,0.0007596,0.000394,0.000257,0.000383,0.0003338,9.52e-05,0.0002313,0.0012619,0.0009625,0.000148,0.000944,0.0003861,0.0004948,0.0003827,0.0005352,1.62e-05,9.02e-05,0.0001642
n_trips,2.16e-05,9.3e-06,1.08e-05,5.09e-05,7.7e-06,4.24e-05,1.46e-05,1.5e-06,2.47e-05,6.94e-05,2.39e-05,6.32e-05,0.0,3.1e-06,0.0001002,2.08e-05,5.01e-05,6.2e-06,4.86e-05,2.85e-05,2.85e-05,2.62e-05,1.23e-05,2.93e-05,5.86e-05,0.0001064,2.47e-05,2.24e-05,1.93e-05,1.46e-05,7.48e-05,7.09e-05,2.85e-05,6.78e-05,1.54e-05,4.24e-05,3.24e-05,2.08e-05,0.0001033,3.08e-05,3.9e-06,1.54e-05,2.85e-05,0.0001095,6.55e-05,1.08e-05,2.7e-05,6.01e-05,3.01e-05,2.62e-05,5.4e-06,2.7e-05,7.4e-05,4.93e-05,2.3e-06,4.32e-05,4.6e-06,8.94e-05,5.4e-05,2.62e-05,0.0001349,0.0001272,0.0001457,0.000205,7.71e-05,7.94e-05,5.32e-05,2.3e-06,7.7e-06,3.93e-05,5.4e-06,1.5e-06,3.08e-05,0.000202,1.46e-05,0.0002305,1.39e-05,0.000195,5.94e-05,8.63e-05,5.78e-05,1.31e-05,0.0001495,0.0004881,3.08e-05,0.0003391,0.0002343,0.0001796,0.0007295,0.00038,0.0002798,0.0002606,0.0001781,1.77e-05,0.0001573,6.2e-06,6.4e-05,0.0001442,0.0003861,0.0012357,0.0011718,0.0003545,1.31e-05,1.23e-05,0.0002189,0.0002907,3.9e-06,7.48e-05,0.0006227,0.0002844,0.0007596,0.000394,0.0003568,0.0004855,0.0003338,0.0002328,0.0002313,0.0012619,0.0009625,0.000148,0.000944,0.0003861,0.0004948,0.0007074,0.0005649,1.62e-05,9.02e-05,0.0001642
n_complete_trips,2.16e-05,9.3e-06,1.08e-05,5.09e-05,4.6e-06,2.08e-05,1.46e-05,1.5e-06,2.47e-05,3.55e-05,2.39e-05,6.78e-05,0.0,8e-07,0.0001002,2.08e-05,7.94e-05,4.6e-06,4.86e-05,1.39e-05,3.85e-05,2.08e-05,4.16e-05,1.54e-05,5.86e-05,4.63e-05,6.01e-05,2.24e-05,2e-05,2.47e-05,7.63e-05,7.09e-05,1.16e-05,6.78e-05,1.93e-05,6.55e-05,3.24e-05,2.08e-05,3.85e-05,9.3e-06,3.9e-06,1.54e-05,4.63e-05,6.71e-05,4.39e-05,2.31e-05,2.7e-05,6.01e-05,1.77e-05,6.2e-06,4.78e-05,2.7e-05,0.0001388,5.47e-05,2.3e-06,4.32e-05,1e-05,8.94e-05,5.4e-05,1.62e-05,6.94e-05,0.0001102,8.17e-05,0.0001064,8e-07,4.55e-05,4.78e-05,3.9e-06,7.7e-06,2.24e-05,8e-07,1.5e-06,2.93e-05,0.000202,2e-05,0.0002305,1e-05,0.000195,4.09e-05,8.63e-05,4.78e-05,1.08e-05,0.000111,0.0005212,3.08e-05,0.0002228,0.0002204,0.0001796,0.0007295,0.00038,0.0002798,0.0002606,0.0001781,6.78e-05,0.0002058,6.2e-06,6.4e-05,0.0004179,0.0003861,0.0012889,0.0007667,7.09e-05,1.31e-05,4.47e-05,0.0002189,0.0002907,3.9e-06,0.0004063,0.0006227,0.0002844,0.0007596,0.000394,0.0001572,0.0002806,0.0003338,4.24e-05,0.0002313,0.0012619,0.0009625,0.000148,0.000944,0.0003861,0.0004948,5.78e-05,0.0005056,1.62e-05,9.02e-05,0.0001642
n_incomplete_trips,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
n_users,1.85e-05,1.06e-05,5.3e-06,7.9e-06,4.22e-05,1.32e-05,2.64e-05,5.3e-06,2.64e-05,1.58e-05,7.9e-06,1.85e-05,3.96e-05,2.64e-05,3.96e-05,1.85e-05,4.49e-05,6.34e-05,6.34e-05,4.75e-05,0.0,3.43e-05,9.5e-05,6.86e-05,4.75e-05,4.22e-05,2.9e-05,1.32e-05,4.22e-05,4.49e-05,5.3e-06,3.17e-05,6.34e-05,3.7e-05,2.6e-06,2.64e-05,6.07e-05,5.3e-06,4.75e-05,7.92e-05,0.0001162,5.02e-05,4.75e-05,0.0001003,4.75e-05,3.96e-05,3.17e-05,8.71e-05,0.0001452,0.0001188,2.6e-06,0.0001215,8.18e-05,1.85e-05,6.07e-05,3.7e-05,2.9e-05,1.58e-05,0.0001452,6.07e-05,7.66e-05,2.11e-05,0.0001056,1.06e-05,0.0,7.9e-06,3.17e-05,2.6e-06,2.11e-05,2.6e-06,1.06e-05,2.6e-06,1.58e-05,5.3e-06,1.32e-05,2.11e-05,3.7e-05,7.13e-05,1.32e-05,2.38e-05,1.06e-05,3.7e-05,8.98e-05,2.38e-05,0.0001347,2.6e-06,4.22e-05,9.5e-05,6.34e-05,4.49e-05,8.45e-05,0.0,9.51e-05,2.38e-05,6.6e-05,1.32e-05,3.7e-05,6.07e-05,0.000132,6.86e-05,0.0002191,0.0001135,8.71e-05,0.0002218,2.9e-05,0.000264,5.81e-05,2.9e-05,3.7e-05,2.6e-06,0.0001162,1.58e-05,9.5e-05,0.0005833,0.000161,9.77e-05,5.28e-05,4.22e-05,1.85e-05,0.0004357,0.0002218,7.39e-05,8.71e-05,0.0001003,0.0003484,0.000396,0.0001083,6.86e-05
n_locations,9.81e-05,4.9e-05,0.0001324,5.39e-05,0.0001422,0.0001765,0.0001079,0.0001667,0.0001422,1.47e-05,2.94e-05,0.0002795,0.0001667,0.0,5.39e-05,0.0001667,0.000152,0.000103,0.0003188,0.0007451,0.0003188,9.32e-05,0.0001961,0.0005739,9.32e-05,0.0007898,0.000201,0.0001079,0.0003237,0.0002648,2.94e-05,0.0004807,0.0002206,0.0002402,0.0001079,0.0002746,0.0003089,0.0002452,0.0007702,0.0005098,0.0002992,0.0006324,2.45e-05,0.0001618,0.0001177,0.0001422,0.0001471,4.9e-05,0.0003089,0.0005984,0.0005543,5.39e-05,0.0011776,0.0005785,0.0001471,0.000358,0.0003236,0.0001324,0.0004804,0.0003482,0.000206,0.0006867,0.0003188,0.0004218,0.0001667,0.0002697,0.0002795,0.0003678,9.81e-05,7.36e-05,0.0002158,5.88e-05,0.0001128,9.8e-06,0.0005049,0.0014624,0.0016293,0.0004218,4.9e-06,0.0006131,0.0013445,0.0005199,0.0006328,0.0004902,0.0005395,2.45e-05,0.0024439,0.0004905,0.0006966,0.0003826,0.0008676,0.0014967,0.0005148,0.0033056,0.0023314,0.0004758,0.0004167,0.0003433,0.0001177,0.0032613,0.0020076,0.0014967,0.0026761,0.0030793,0.0006618,0.0001912,0.0001177,0.0059207,0.0016097,0.0014847,0.0020371,0.0017882,0.0003334,0.0045403,0.0102934,0.002664,0.0009949,0.0013052,0.006676,0.000848,0.0034755,0.0036026,0.009415,0.000103,0.0015458,0.0036747,0.0009558,0.0082481
uid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
tid,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0
datetime,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
lat,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
