stat,gauss_True_count_1,gauss_True_count_3,gauss_True_count_5,gauss_True_count_7,gauss_True_count_9,gauss_True_count_11,gauss_True_count_13,gauss_True_count_15,gauss_False_count_1,gauss_False_count_3,gauss_False_count_5,gauss_False_count_7,gauss_False_count_9,gauss_False_count_11,gauss_False_count_13,gauss_False_count_15
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_incomplete_trips,1.062,0.75,1.75,1.25,1.25,1.0,1.25,1.5,0.75,1.0,1.5,0.5,1.25,0.25,0.75,0.5
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.002,0.002,0.003,0.004
uid,0.75,0.75,1.25,0.5,0.75,0.75,1.0,1.0,0.938,1.25,1.0,0.75,0.5,0.5,1.75,1.0
tid,0.875,0.75,0.5,1.0,0.75,0.5,1.25,0.75,0.938,1.25,1.0,1.0,0.75,1.25,0.75,1.25
datetime,1.0,0.75,0.75,1.5,1.0,1.5,0.75,1.25,0.75,1.75,0.5,0.75,0.75,1.0,0.75,0.5
lat,0.812,0.75,1.0,1.75,0.25,1.0,0.25,1.0,1.312,0.5,1.0,1.5,1.5,1.75,1.5,1.25
lng,0.875,1.5,0.25,0.75,1.0,0.5,1.5,1.0,1.25,1.25,1.25,1.0,1.75,1.25,1.75,0.75
trips_over_time,0.429,0.325,0.564,0.48,0.409,0.427,0.597,0.55,0.538,0.414,0.609,0.594,0.689,0.634,0.576,0.69
trips_per_weekday,0.702,0.526,0.532,0.655,0.558,0.675,0.76,0.683,0.662,0.591,0.639,0.656,0.619,0.643,0.767,0.73
trips_per_hour,0.467,0.532,0.477,0.519,0.493,0.553,0.457,0.431,0.476,0.503,0.501,0.497,0.45,0.462,0.475,0.528
