stat,gauss_True_count_1,gauss_True_count_3,gauss_True_count_5,gauss_True_count_7,gauss_True_count_9,gauss_True_count_11,gauss_True_count_13,gauss_True_count_15,gauss_False_count_1,gauss_False_count_3,gauss_False_count_5,gauss_False_count_7,gauss_False_count_9,gauss_False_count_11,gauss_False_count_13,gauss_False_count_15
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_incomplete_trips,1.014,1.035,0.707,1.035,1.035,1.069,1.035,0.926,0.984,1.069,0.926,0.926,1.035,0.707,1.035,0.926
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.001,0.001,0.002,0.004,0.003
uid,0.984,1.035,1.035,0.926,1.035,1.035,1.069,1.069,1.014,1.035,1.069,1.035,0.926,0.926,0.707,1.069
tid,1.008,1.035,0.926,1.069,1.035,0.926,1.035,1.035,1.014,1.035,1.069,1.069,1.035,1.035,1.035,1.035
datetime,1.016,1.035,1.035,0.926,1.069,0.926,1.035,1.035,0.984,0.707,0.926,1.035,1.035,1.069,1.035,0.926
lat,0.998,1.035,1.069,0.707,0.707,1.069,0.707,1.069,0.965,0.926,1.069,0.926,0.926,0.707,0.926,1.035
lng,1.008,0.926,0.707,1.035,1.069,0.926,0.926,1.069,0.984,1.035,1.035,1.069,0.707,1.035,0.707,1.035
trips_over_time,0.292,0.228,0.228,0.24,0.282,0.277,0.226,0.238,0.252,0.28,0.177,0.225,0.023,0.16,0.236,0.014
trips_per_weekday,0.291,0.3,0.245,0.318,0.35,0.286,0.27,0.34,0.264,0.26,0.111,0.393,0.348,0.204,0.286,0.311
trips_per_hour,0.072,0.037,0.078,0.058,0.077,0.056,0.048,0.054,0.074,0.039,0.038,0.084,0.051,0.072,0.076,0.06
