stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_3_rep_0,gauss_True_count_3_rep_1,gauss_True_count_3_rep_2,gauss_True_count_3_rep_3,gauss_True_count_3_rep_4,gauss_True_count_3_rep_5,gauss_True_count_3_rep_6,gauss_True_count_3_rep_7,gauss_True_count_5_rep_0,gauss_True_count_5_rep_1,gauss_True_count_5_rep_2,gauss_True_count_5_rep_3,gauss_True_count_5_rep_4,gauss_True_count_5_rep_5,gauss_True_count_5_rep_6,gauss_True_count_5_rep_7,gauss_True_count_7_rep_0,gauss_True_count_7_rep_1,gauss_True_count_7_rep_2,gauss_True_count_7_rep_3,gauss_True_count_7_rep_4,gauss_True_count_7_rep_5,gauss_True_count_7_rep_6,gauss_True_count_7_rep_7,gauss_True_count_9_rep_0,gauss_True_count_9_rep_1,gauss_True_count_9_rep_2,gauss_True_count_9_rep_3,gauss_True_count_9_rep_4,gauss_True_count_9_rep_5,gauss_True_count_9_rep_6,gauss_True_count_9_rep_7,gauss_True_count_11_rep_0,gauss_True_count_11_rep_1,gauss_True_count_11_rep_2,gauss_True_count_11_rep_3,gauss_True_count_11_rep_4,gauss_True_count_11_rep_5,gauss_True_count_11_rep_6,gauss_True_count_11_rep_7,gauss_True_count_13_rep_0,gauss_True_count_13_rep_1,gauss_True_count_13_rep_2,gauss_True_count_13_rep_3,gauss_True_count_13_rep_4,gauss_True_count_13_rep_5,gauss_True_count_13_rep_6,gauss_True_count_13_rep_7,gauss_True_count_15_rep_0,gauss_True_count_15_rep_1,gauss_True_count_15_rep_2,gauss_True_count_15_rep_3,gauss_True_count_15_rep_4,gauss_True_count_15_rep_5,gauss_True_count_15_rep_6,gauss_True_count_15_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_3_rep_0,gauss_False_count_3_rep_1,gauss_False_count_3_rep_2,gauss_False_count_3_rep_3,gauss_False_count_3_rep_4,gauss_False_count_3_rep_5,gauss_False_count_3_rep_6,gauss_False_count_3_rep_7,gauss_False_count_5_rep_0,gauss_False_count_5_rep_1,gauss_False_count_5_rep_2,gauss_False_count_5_rep_3,gauss_False_count_5_rep_4,gauss_False_count_5_rep_5,gauss_False_count_5_rep_6,gauss_False_count_5_rep_7,gauss_False_count_7_rep_0,gauss_False_count_7_rep_1,gauss_False_count_7_rep_2,gauss_False_count_7_rep_3,gauss_False_count_7_rep_4,gauss_False_count_7_rep_5,gauss_False_count_7_rep_6,gauss_False_count_7_rep_7,gauss_False_count_9_rep_0,gauss_False_count_9_rep_1,gauss_False_count_9_rep_2,gauss_False_count_9_rep_3,gauss_False_count_9_rep_4,gauss_False_count_9_rep_5,gauss_False_count_9_rep_6,gauss_False_count_9_rep_7,gauss_False_count_11_rep_0,gauss_False_count_11_rep_1,gauss_False_count_11_rep_2,gauss_False_count_11_rep_3,gauss_False_count_11_rep_4,gauss_False_count_11_rep_5,gauss_False_count_11_rep_6,gauss_False_count_11_rep_7,gauss_False_count_13_rep_0,gauss_False_count_13_rep_1,gauss_False_count_13_rep_2,gauss_False_count_13_rep_3,gauss_False_count_13_rep_4,gauss_False_count_13_rep_5,gauss_False_count_13_rep_6,gauss_False_count_13_rep_7,gauss_False_count_15_rep_0,gauss_False_count_15_rep_1,gauss_False_count_15_rep_2,gauss_False_count_15_rep_3,gauss_False_count_15_rep_4,gauss_False_count_15_rep_5,gauss_False_count_15_rep_6,gauss_False_count_15_rep_7
n_records,0.0261905,0.0425532,0.011226,0.0487246,0.0153937,0.0142012,0.0374748,0.0145815,0.012843,0.02781,0.0130101,0.0357761,0.0779221,0.0800902,0.056523,0.0220802,0.0081919,0.0719343,0.0402994,0.0183813,0.0380403,0.024383,0.1182974,0.0481651,0.1208723,0.0993858,0.0395446,0.0743449,0.0459242,0.0189798,0.0667881,0.02781,0.1373461,0.1208943,0.0286055,0.0391705,0.0289519,0.0762428,0.0476054,0.1064356,0.1025324,0.0630303,0.0442402,0.0142012,0.0100384,0.0498425,0.1248439,0.0705596,0.1240011,0.0352765,0.1260666,0.0237812,0.0273973,0.2215256,0.034642,0.1036212,0.138191,0.1598985,0.2597137,0.0908581,0.0414269,0.0058928,0.0035191,0.0407674,0.0876404,0.0605327,0.053745,0.0346683,0.1544304,0.0335066,0.0243761,0.0035315,0.2641509,0.1941645,0.0391705,0.2587923,0.1229666,0.1612698,0.2881569,0.1195517,0.2670663,0.1975468,0.0266667,1.8947368,0.4657733,0.138191,0.4056537,0.0555556,0.0419916,0.6009042,0.0967291,0.0358852,0.2799394,0.5866722,0.2365309,0.1489899,1.0833333,0.4604265,0.4542177,0.2579324,0.5477816,0.3595181,0.2570405,0.2678215,1.4453441,,1.4734694,0.6845426,0.3867299,0.5533362,,0.1435768,0.2233834,0.5421842,0.2353551,0.3755667,1.0819375,0.7241379,0.8660893,0.6162602,,0.724616,0.0951315,1.2158715,0.6761006,0.1347945,0.9582249,0.0140023
n_trips,0.020178,0.0425532,0.0011744,0.0504009,0.0153937,0.0,0.0425532,0.0380403,0.012843,0.0357761,0.0130101,0.0357761,0.0779221,0.0800902,0.1046771,0.0220802,0.0515169,0.0790068,0.0402994,0.017783,0.0391705,0.0142012,0.1409066,0.0481651,0.1208723,0.0993858,0.0371035,0.0506024,0.0459242,0.0189798,0.0130101,0.02781,0.1409066,0.1317234,0.0286055,0.0391705,0.0289519,0.0693009,0.0626067,0.1064356,0.1025324,0.0630303,0.0548571,0.0142012,0.0369089,0.0681044,0.1248439,0.0605327,0.1979884,0.010632,0.1893617,0.0165877,0.0273973,0.2215256,0.034642,0.1286421,0.1103534,0.1598985,0.2597137,0.0908581,0.0492837,0.0058928,0.0035191,0.0407674,0.0876404,0.0592861,0.053745,0.0346683,0.1544304,0.0335066,0.0243761,0.0035315,0.2781993,0.2065332,0.0391705,0.2587923,0.1327482,0.1612698,0.3378906,0.1195517,0.1890675,0.1975468,0.0266667,1.7948718,0.3904494,0.138191,0.4056537,0.0555556,0.0419916,0.6072013,0.1738197,0.0358852,0.4003759,0.6540134,0.2365309,0.1489899,0.5084746,0.3971831,0.4542177,0.2579324,0.5477816,0.3595181,0.2570405,0.2678215,1.4453441,,1.4734694,0.6845426,0.3867299,0.5588484,,0.0286055,0.0883436,0.5421842,0.3790476,0.4123134,0.5066274,0.7576642,0.8660893,0.6162602,,0.724616,0.0951315,0.6887836,0.010632,0.3882576,1.0014667,0.0140023
n_complete_trips,0.0322388,0.0425532,0.0237812,0.0470453,0.0153937,0.0286055,0.0323699,0.0094451,0.012843,0.0197789,0.0130101,0.0357761,0.0779221,0.0800902,0.0058582,0.0220802,0.0371035,0.0648096,0.0402994,0.0189798,0.0369089,0.0346683,0.0951315,0.0481651,0.1208723,0.0993858,0.0419916,0.0986436,0.0459242,0.0189798,0.1235184,0.02781,0.1337719,0.1099389,0.0286055,0.0391705,0.0289519,0.0832313,0.0323699,0.1064356,0.1025324,0.0630303,0.0335066,0.0142012,0.0592861,0.0312319,0.1248439,0.0806846,0.0436782,0.0605327,0.058186,0.0310263,0.0273973,0.2215256,0.034642,0.0779221,0.1667728,0.1598985,0.2597137,0.0908581,0.0335066,0.0058928,0.0035191,0.0407674,0.0876404,0.0617807,0.053745,0.0346683,0.1544304,0.0335066,0.0243761,0.0035315,0.2498715,0.1816239,0.0391705,0.2587923,0.113082,0.1612698,0.2353551,0.1195517,0.3508287,0.1975468,0.0266667,2.0,0.5459985,0.138191,0.4056537,0.0555556,0.0419916,0.59455,0.012843,0.0358852,0.1398907,0.5122378,0.2365309,0.1489899,2.0,0.5270973,0.4542177,0.2579324,0.5477816,0.3595181,0.2570405,0.2678215,1.4453441,2.0,1.4734694,0.6845426,0.3867299,0.5477816,2.0,0.2723632,0.377095,0.5421842,0.0637088,0.3370787,2.0,0.6887519,0.8660893,0.6162602,2.0,0.724616,0.0951315,2.0,2.0,0.213264,0.9110685,0.0140023
n_incomplete_trips,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
n_users,0.0335196,0.0163488,0.0,0.0979827,0.0740741,0.010929,0.0222222,0.0271003,0.0623229,0.0278552,0.0449438,0.0638298,0.0638298,0.0055096,0.0110497,0.0740741,0.0222222,0.0564972,0.18,0.0623229,0.1090909,0.1348974,0.1381074,0.0449438,0.1522843,0.1428571,0.1662469,0.0278552,0.0482574,0.0278552,0.0,0.0055096,0.0430108,0.1522843,0.2415459,0.1381074,0.122449,0.1040462,0.0271003,0.2821317,0.1162791,0.1333333,0.0979827,0.1662469,0.0392157,0.128655,0.0217391,0.618705,0.0,0.0392157,0.0392157,0.0740741,0.0392157,0.0507042,0.0534759,0.0,0.0638298,0.1474926,0.1731343,0.1890547,0.0054795,0.0278552,0.0055096,0.1475827,0.0217391,0.0054795,0.0586667,0.0,0.0054795,0.0278552,0.010929,0.0054795,0.0054795,0.0335196,0.0,0.0054795,0.0740741,0.0217391,0.0740741,0.0482574,0.0859599,0.122449,0.1139896,0.010929,0.0392157,0.0534759,0.0217391,0.3037975,0.0740741,0.2287105,0.3713355,0.0942408,0.0110497,0.212766,0.3037975,0.2469136,0.1348974,0.1348974,0.0335196,0.128655,0.0740741,0.212766,0.2060606,0.1348974,0.1381074,0.7063197,0.3030303,0.0892388,0.1845387,0.0449438,0.0392157,1.1790393,0.0217391,0.0534759,0.7575758,0.0392157,0.1381074,0.0222222,0.5724382,1.1515152,0.1602374,0.0163488,0.3947368,1.1111111,0.3566591,0.410596,0.4927536,0.8108108
n_locations,0.0159433,0.0011912,0.0363636,0.0095694,0.0035778,0.0229479,0.0137848,0.0023781,0.0287474,0.0053715,0.0125786,0.0047506,0.0077682,0.0533024,0.0023781,0.0101705,0.0550459,0.0217839,0.0106572,0.0155969,0.018018,0.0165289,0.0124224,0.0444174,0.0613497,0.0106572,0.0071174,0.0053428,0.0174122,0.0017873,0.0606061,0.0,0.0083682,0.0210526,0.0533024,0.0316344,0.0345141,0.0165289,0.0210526,0.0889027,0.0071174,0.0634006,0.0271493,0.0375985,0.0909091,0.0363636,0.0805484,0.0029718,0.0326679,0.0385289,0.0065691,0.0125786,0.0391013,0.0895522,0.0678551,0.0252718,0.0619822,0.0083682,0.0805484,0.0744986,0.0071174,0.0241106,0.0531622,0.071736,0.018018,0.0382166,0.022269,0.0216606,0.0270112,0.0430984,0.0270112,0.0131815,0.2733424,0.0375985,0.1176471,0.0275903,0.0,0.18111,0.0304807,0.048156,0.4330196,0.1097046,0.1359223,0.0606061,0.3463687,0.0101705,0.041958,0.2156281,0.0168067,0.29355,0.1778742,0.2804504,0.1563786,0.0088889,0.4109719,0.0482138,0.4579371,0.1234292,0.1455939,0.0908525,0.3728814,0.1796951,0.3055976,0.0005951,0.0332829,0.6006192,0.1729201,0.1086406,0.1724232,0.0512821,0.048156,0.4242424,0.0908525,0.0326679,1.2401157,0.32,0.1359223,0.2588235,0.0506561,0.1558727,0.0270112,0.4702936,0.2716049,0.2773648,0.1086406,0.0089686,0.0235294,0.0011912
uid,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
tid,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0
datetime,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
lat,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
