stat,gauss_True_count_1,gauss_True_count_3,gauss_True_count_5,gauss_True_count_7,gauss_True_count_9,gauss_True_count_11,gauss_True_count_13,gauss_True_count_15,gauss_False_count_1,gauss_False_count_3,gauss_False_count_5,gauss_False_count_7,gauss_False_count_9,gauss_False_count_11,gauss_False_count_13,gauss_False_count_15
n_records,0.066,0.041,0.046,0.062,0.073,0.06,0.087,0.093,0.47,0.181,0.431,0.253,0.461,0.781,0.583,0.546
n_trips,0.071,0.048,0.054,0.052,0.076,0.066,0.103,0.09,0.418,0.192,0.4,0.287,0.381,0.763,0.521,0.418
n_complete_trips,0.064,0.033,0.047,0.072,0.07,0.064,0.069,0.095,0.71,0.17,0.465,0.215,0.584,1.101,0.686,0.995
n_incomplete_trips,1.062,0.5,1.5,0.75,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,0.5,0.5,1.25,1.0
n_users,0.083,0.044,0.094,0.071,0.139,0.165,0.037,0.095,0.292,0.033,0.094,0.193,0.132,0.336,0.345,0.469
n_locations,0.036,0.016,0.024,0.021,0.034,0.043,0.039,0.048,0.165,0.089,0.169,0.174,0.21,0.201,0.286,0.149
uid,0.812,1.0,0.5,1.25,0.75,1.25,0.75,0.5,0.625,0.75,1.5,0.5,0.75,0.75,0.25,0.75
tid,0.938,1.25,0.5,1.25,0.75,1.0,1.25,0.75,1.062,1.25,1.0,1.75,1.5,1.5,1.25,1.25
datetime,1.125,0.75,0.75,1.25,0.75,1.0,1.25,0.75,0.938,0.25,1.25,1.5,0.25,0.5,1.0,1.25
lat,1.062,1.25,0.5,0.75,0.75,1.25,0.75,0.75,1.125,1.25,1.5,0.5,1.25,1.75,0.75,1.0
lng,1.25,1.0,1.25,1.0,1.5,1.5,1.25,1.0,1.062,1.5,1.5,1.25,1.25,1.0,0.75,1.0
trips_over_time,1.419,1.368,1.441,1.434,1.563,1.502,1.506,1.476,1.505,1.419,1.494,1.658,1.619,1.603,1.698,1.643
trips_per_weekday,0.168,0.079,0.117,0.143,0.173,0.192,0.209,0.212,0.446,0.123,0.165,0.32,0.363,0.539,0.589,0.608
trips_per_hour,0.995,0.812,0.952,0.993,1.059,1.129,1.097,1.158,1.075,0.871,1.068,1.114,1.233,1.238,1.328,1.276
