stat,gauss_True_count_1_,gauss_True_count_3_,gauss_True_count_5_,gauss_True_count_7_,gauss_True_count_9_,gauss_True_count_11_,gauss_True_count_13_,gauss_True_count_15_,gauss_False_count_1_,gauss_False_count_3_,gauss_False_count_5_,gauss_False_count_7_,gauss_False_count_9_,gauss_False_count_11_,gauss_False_count_13_,gauss_False_count_15_
n_records,0.01474,0.02743,0.03517,0.0355,0.04353,0.03978,0.06993,0.08888,0.04695,0.08641,0.61131,0.22686,0.27395,0.55565,0.30355,0.46955
n_trips,0.01974,0.03499,0.04057,0.03863,0.04517,0.03483,0.09069,0.0868,0.04693,0.09743,0.58037,0.2413,0.11555,0.58294,0.24023,0.39625
n_complete_trips,0.01268,0.02947,0.02335,0.04284,0.04298,0.03774,0.06384,0.09223,0.04696,0.07713,0.64558,0.22225,0.58432,0.71214,0.5842,0.88588
n_incomplete_trips,0.92582,0.92582,0.92582,1.0351,1.06904,1.06904,1.0351,0.92582,0.70711,1.06904,1.0351,1.06904,0.92582,0.92582,1.0351,1.06904
n_users,0.03354,0.02634,0.05504,0.07011,0.08816,0.1895,0.0256,0.07744,0.01927,0.03009,0.09415,0.12286,0.05988,0.40439,0.43134,0.34877
n_locations,0.01199,0.01729,0.0163,0.02553,0.02588,0.03237,0.02769,0.03014,0.01003,0.09465,0.15169,0.14634,0.1548,0.20479,0.39809,0.17256
uid,1.0351,1.06904,0.92582,1.0351,1.0351,1.0351,1.0351,0.92582,1.0351,1.0351,0.92582,0.92582,1.0351,1.0351,0.70711,1.0351
tid,1.0351,1.0351,0.92582,1.0351,1.0351,1.06904,1.0351,1.0351,0.70711,1.0351,1.06904,0.70711,0.92582,0.92582,1.0351,1.0351
datetime,0.92582,1.0351,1.0351,1.0351,1.0351,1.06904,1.0351,1.0351,1.06904,0.70711,1.0351,0.92582,0.70711,0.92582,1.06904,1.0351
lat,0.92582,1.0351,0.92582,1.0351,1.0351,1.0351,1.0351,1.0351,1.06904,1.0351,0.92582,0.92582,1.0351,0.70711,1.0351,1.06904
lng,1.0351,1.06904,1.0351,1.06904,0.92582,0.92582,1.0351,1.06904,0.92582,0.92582,0.92582,1.0351,1.0351,1.06904,1.0351,1.06904
trips_over_time,0.09487,0.1055,0.0818,0.10857,0.07098,0.08024,0.03908,0.15978,0.09291,0.10519,0.09013,0.04707,0.10555,0.11129,0.08345,0.05604
trips_per_weekday,0.01612,0.02739,0.04615,0.09196,0.06361,0.09559,0.05607,0.07986,0.01877,0.03961,0.06816,0.18325,0.13895,0.17653,0.27076,0.25799
trips_per_hour,0.03966,0.03577,0.04946,0.07964,0.04003,0.09721,0.06338,0.07787,0.0512,0.05909,0.03548,0.0579,0.03953,0.07179,0.03845,0.10219
