stat,gauss_True_count_1,gauss_True_count_3,gauss_True_count_5,gauss_True_count_7,gauss_True_count_9,gauss_True_count_11,gauss_True_count_13,gauss_True_count_15,gauss_False_count_1,gauss_False_count_3,gauss_False_count_5,gauss_False_count_7,gauss_False_count_9,gauss_False_count_11,gauss_False_count_13,gauss_False_count_15
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.001,0.004,0.002
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.002,0.001,0.004,0.003
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.002,0.003,0.002
n_incomplete_trips,1.062,1.0,1.0,0.75,0.5,0.75,1.5,1.25,1.188,1.0,0.75,0.75,0.75,1.0,1.75,0.75
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
n_locations,0.057,0.033,0.044,0.039,0.045,0.042,0.092,0.075,0.248,0.038,0.076,0.334,0.308,0.078,0.241,0.65
uid,1.062,1.0,0.75,0.75,1.25,0.75,0.75,1.25,1.125,0.5,1.0,1.5,0.75,1.25,1.0,1.25
tid,1.188,0.5,0.5,0.25,1.25,1.5,0.75,1.5,0.875,1.0,1.0,1.5,1.5,1.25,0.5,1.0
datetime,0.688,0.5,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.5,1.25,1.0,0.75,1.0,1.0,0.5
lat,0.029,0.019,0.023,0.027,0.027,0.031,0.03,0.042,0.165,0.048,0.115,0.166,0.187,0.19,0.229,0.232
lng,0.035,0.011,0.024,0.033,0.028,0.03,0.04,0.054,0.207,0.06,0.187,0.261,0.23,0.354,0.168,0.28
trips_over_time,0.015,0.008,0.01,0.016,0.023,0.021,0.019,0.016,0.045,0.019,0.029,0.036,0.038,0.074,0.065,0.036
trips_per_weekday,0.266,0.405,0.268,0.158,0.27,0.26,0.288,0.258,0.38,0.235,0.377,0.337,0.315,0.487,0.306,0.472
trips_per_hour,0.53,0.532,0.52,0.552,0.509,0.517,0.518,0.551,0.549,0.526,0.522,0.56,0.537,0.553,0.567,0.625
