stat,gauss_True_count_1,gauss_True_count_3,gauss_True_count_5,gauss_True_count_7,gauss_True_count_9,gauss_True_count_11,gauss_True_count_13,gauss_True_count_15,gauss_False_count_1,gauss_False_count_3,gauss_False_count_5,gauss_False_count_7,gauss_False_count_9,gauss_False_count_11,gauss_False_count_13,gauss_False_count_15
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.001,0.003,0.001
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.001,0.004,0.001
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.001,0.003,0.001
n_incomplete_trips,1.014,1.069,1.069,1.035,0.926,1.035,0.926,1.035,0.998,1.069,1.035,1.035,1.035,1.069,0.707,1.035
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0
n_locations,0.047,0.024,0.044,0.04,0.028,0.025,0.065,0.031,0.394,0.048,0.054,0.458,0.299,0.044,0.178,0.615
uid,1.014,1.069,1.035,1.035,1.035,1.035,1.035,1.035,1.008,0.926,1.069,0.926,1.035,1.035,1.069,1.035
tid,0.998,0.926,0.926,0.707,1.035,0.926,1.035,0.926,1.008,1.069,1.069,0.926,0.926,1.035,0.926,1.069
datetime,0.965,0.926,1.069,0.926,1.069,1.069,1.035,1.069,1.016,0.926,1.035,1.069,1.035,1.069,1.069,0.926
lat,0.025,0.011,0.016,0.018,0.022,0.026,0.02,0.033,0.192,0.035,0.109,0.125,0.125,0.196,0.189,0.224
lng,0.027,0.007,0.019,0.02,0.043,0.02,0.029,0.031,0.193,0.038,0.144,0.305,0.194,0.219,0.161,0.147
trips_over_time,0.01,0.004,0.003,0.008,0.01,0.01,0.012,0.007,0.042,0.014,0.033,0.036,0.028,0.046,0.042,0.02
trips_per_weekday,0.223,0.146,0.234,0.218,0.104,0.21,0.245,0.241,0.246,0.198,0.103,0.233,0.156,0.294,0.191,0.202
trips_per_hour,0.077,0.054,0.075,0.047,0.097,0.089,0.065,0.075,0.097,0.055,0.065,0.065,0.055,0.099,0.074,0.065
