stat,gauss_True_count_1_,gauss_True_count_3_,gauss_True_count_5_,gauss_True_count_7_,gauss_True_count_9_,gauss_True_count_11_,gauss_True_count_13_,gauss_True_count_15_,gauss_False_count_1_,gauss_False_count_3_,gauss_False_count_5_,gauss_False_count_7_,gauss_False_count_9_,gauss_False_count_11_,gauss_False_count_13_,gauss_False_count_15_
n_records,2e-05,4e-05,3e-05,5e-05,4e-05,3e-05,3e-05,8e-05,2e-05,0.0001,0.00017,0.00026,0.0004,0.00035,0.00046,0.00038
n_trips,2e-05,4e-05,3e-05,5e-05,4e-05,4e-05,3e-05,0.0001,3e-05,0.0001,0.00019,0.00025,0.00042,0.00033,0.0005,0.00042
n_complete_trips,2e-05,3e-05,3e-05,5e-05,3e-05,4e-05,4e-05,7e-05,2e-05,0.0001,0.00017,0.00026,0.00038,0.00037,0.00043,0.00033
n_incomplete_trips,0.5,0.75,1.75,1.25,1.25,1.0,1.25,1.5,1.5,1.0,1.5,0.5,1.25,0.25,0.75,0.5
n_users,2e-05,2e-05,5e-05,3e-05,4e-05,7e-05,7e-05,6e-05,1e-05,3e-05,5e-05,5e-05,0.00012,7e-05,0.00019,0.00018
n_locations,0.00012,0.00011,0.00031,0.00029,0.00033,0.0002,0.00047,0.00036,0.00019,0.00059,0.00081,0.00126,0.00167,0.00173,0.00346,0.00388
uid,0.25,0.75,1.25,0.5,0.75,0.75,1.0,1.0,0.5,1.25,1.0,0.75,0.5,0.5,1.75,1.0
tid,1.0,0.75,0.5,1.0,0.75,0.5,1.25,0.75,0.5,1.25,1.0,1.0,0.75,1.25,0.75,1.25
datetime,0.5,0.75,0.75,1.5,1.0,1.5,0.75,1.25,0.75,1.75,0.5,0.75,0.75,1.0,0.75,0.5
lat,1.0,0.75,1.0,1.75,0.25,1.0,0.25,1.0,0.75,0.5,1.0,1.5,1.5,1.75,1.5,1.25
lng,0.5,1.5,0.25,0.75,1.0,0.5,1.5,1.0,1.25,1.25,1.25,1.0,1.75,1.25,1.75,0.75
trips_over_time,0.14328,0.325,0.5637,0.47976,0.40895,0.42688,0.59667,0.55024,0.25263,0.41438,0.60894,0.59384,0.6891,0.63392,0.57586,0.68968
trips_per_weekday,0.68784,0.52634,0.53151,0.65516,0.55802,0.67539,0.75994,0.6832,0.50772,0.59097,0.63856,0.65592,0.61932,0.64292,0.76686,0.72986
trips_per_hour,0.42749,0.53195,0.47743,0.51925,0.49332,0.5535,0.45721,0.43131,0.43776,0.50336,0.50142,0.49699,0.45038,0.46165,0.47545,0.5283
