stat,gauss_True_count_1_,gauss_True_count_3_,gauss_True_count_5_,gauss_True_count_7_,gauss_True_count_9_,gauss_True_count_11_,gauss_True_count_13_,gauss_True_count_15_,gauss_False_count_1_,gauss_False_count_3_,gauss_False_count_5_,gauss_False_count_7_,gauss_False_count_9_,gauss_False_count_11_,gauss_False_count_13_,gauss_False_count_15_
n_records,2e-05,3e-05,2e-05,3e-05,2e-05,3e-05,3e-05,5e-05,2e-05,0.0001,0.00017,0.00023,0.00047,0.00024,0.00042,0.0003
n_trips,2e-05,4e-05,2e-05,3e-05,3e-05,4e-05,2e-05,7e-05,3e-05,9e-05,0.00016,0.00023,0.0005,0.00026,0.0004,0.00032
n_complete_trips,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,4e-05,4e-05,2e-05,9e-05,0.00017,0.00022,0.00045,0.00024,0.00044,0.00032
n_incomplete_trips,0.92582,1.0351,0.70711,1.0351,1.0351,1.06904,1.0351,0.92582,0.92582,1.06904,0.92582,0.92582,1.0351,0.70711,1.0351,0.92582
n_users,1e-05,1e-05,3e-05,2e-05,3e-05,3e-05,5e-05,5e-05,1e-05,2e-05,5e-05,3e-05,7e-05,9e-05,0.00021,0.00013
n_locations,5e-05,0.0001,0.00024,0.00025,0.00021,0.00019,0.00035,0.00017,0.00011,0.00063,0.00075,0.00106,0.00128,0.00185,0.00351,0.00334
uid,0.70711,1.0351,1.0351,0.92582,1.0351,1.0351,1.06904,1.06904,0.92582,1.0351,1.06904,1.0351,0.92582,0.92582,0.70711,1.06904
tid,1.06904,1.0351,0.92582,1.06904,1.0351,0.92582,1.0351,1.0351,0.92582,1.0351,1.06904,1.06904,1.0351,1.0351,1.0351,1.0351
datetime,0.92582,1.0351,1.0351,0.92582,1.06904,0.92582,1.0351,1.0351,1.0351,0.70711,0.92582,1.0351,1.0351,1.06904,1.0351,0.92582
lat,1.06904,1.0351,1.06904,0.70711,0.70711,1.06904,0.70711,1.06904,1.0351,0.92582,1.06904,0.92582,0.92582,0.70711,0.92582,1.0351
lng,0.92582,0.92582,0.70711,1.0351,1.06904,0.92582,0.92582,1.06904,1.0351,1.0351,1.0351,1.06904,0.70711,1.0351,0.70711,1.0351
trips_over_time,0.22334,0.22782,0.22772,0.2396,0.28215,0.27721,0.2262,0.23768,0.26058,0.28004,0.1774,0.22512,0.02252,0.15956,0.23621,0.01404
trips_per_weekday,0.3141,0.30024,0.2449,0.31772,0.35046,0.28556,0.27024,0.34033,0.20511,0.26023,0.11082,0.39304,0.34762,0.20437,0.28599,0.31147
trips_per_hour,0.05338,0.03691,0.07828,0.05844,0.07716,0.05561,0.04759,0.05432,0.06867,0.03926,0.03829,0.08384,0.05074,0.07243,0.07553,0.06021
