stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_3_rep_0,gauss_True_count_3_rep_1,gauss_True_count_3_rep_2,gauss_True_count_3_rep_3,gauss_True_count_3_rep_4,gauss_True_count_3_rep_5,gauss_True_count_3_rep_6,gauss_True_count_3_rep_7,gauss_True_count_5_rep_0,gauss_True_count_5_rep_1,gauss_True_count_5_rep_2,gauss_True_count_5_rep_3,gauss_True_count_5_rep_4,gauss_True_count_5_rep_5,gauss_True_count_5_rep_6,gauss_True_count_5_rep_7,gauss_True_count_7_rep_0,gauss_True_count_7_rep_1,gauss_True_count_7_rep_2,gauss_True_count_7_rep_3,gauss_True_count_7_rep_4,gauss_True_count_7_rep_5,gauss_True_count_7_rep_6,gauss_True_count_7_rep_7,gauss_True_count_9_rep_0,gauss_True_count_9_rep_1,gauss_True_count_9_rep_2,gauss_True_count_9_rep_3,gauss_True_count_9_rep_4,gauss_True_count_9_rep_5,gauss_True_count_9_rep_6,gauss_True_count_9_rep_7,gauss_True_count_11_rep_0,gauss_True_count_11_rep_1,gauss_True_count_11_rep_2,gauss_True_count_11_rep_3,gauss_True_count_11_rep_4,gauss_True_count_11_rep_5,gauss_True_count_11_rep_6,gauss_True_count_11_rep_7,gauss_True_count_13_rep_0,gauss_True_count_13_rep_1,gauss_True_count_13_rep_2,gauss_True_count_13_rep_3,gauss_True_count_13_rep_4,gauss_True_count_13_rep_5,gauss_True_count_13_rep_6,gauss_True_count_13_rep_7,gauss_True_count_15_rep_0,gauss_True_count_15_rep_1,gauss_True_count_15_rep_2,gauss_True_count_15_rep_3,gauss_True_count_15_rep_4,gauss_True_count_15_rep_5,gauss_True_count_15_rep_6,gauss_True_count_15_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_3_rep_0,gauss_False_count_3_rep_1,gauss_False_count_3_rep_2,gauss_False_count_3_rep_3,gauss_False_count_3_rep_4,gauss_False_count_3_rep_5,gauss_False_count_3_rep_6,gauss_False_count_3_rep_7,gauss_False_count_5_rep_0,gauss_False_count_5_rep_1,gauss_False_count_5_rep_2,gauss_False_count_5_rep_3,gauss_False_count_5_rep_4,gauss_False_count_5_rep_5,gauss_False_count_5_rep_6,gauss_False_count_5_rep_7,gauss_False_count_7_rep_0,gauss_False_count_7_rep_1,gauss_False_count_7_rep_2,gauss_False_count_7_rep_3,gauss_False_count_7_rep_4,gauss_False_count_7_rep_5,gauss_False_count_7_rep_6,gauss_False_count_7_rep_7,gauss_False_count_9_rep_0,gauss_False_count_9_rep_1,gauss_False_count_9_rep_2,gauss_False_count_9_rep_3,gauss_False_count_9_rep_4,gauss_False_count_9_rep_5,gauss_False_count_9_rep_6,gauss_False_count_9_rep_7,gauss_False_count_11_rep_0,gauss_False_count_11_rep_1,gauss_False_count_11_rep_2,gauss_False_count_11_rep_3,gauss_False_count_11_rep_4,gauss_False_count_11_rep_5,gauss_False_count_11_rep_6,gauss_False_count_11_rep_7,gauss_False_count_13_rep_0,gauss_False_count_13_rep_1,gauss_False_count_13_rep_2,gauss_False_count_13_rep_3,gauss_False_count_13_rep_4,gauss_False_count_13_rep_5,gauss_False_count_13_rep_6,gauss_False_count_13_rep_7,gauss_False_count_15_rep_0,gauss_False_count_15_rep_1,gauss_False_count_15_rep_2,gauss_False_count_15_rep_3,gauss_False_count_15_rep_4,gauss_False_count_15_rep_5,gauss_False_count_15_rep_6,gauss_False_count_15_rep_7
n_records,0.0001455,0.0001549,9.4e-06,7.51e-05,7.51e-05,5.16e-05,8.45e-05,2.35e-05,0.0001315,7.98e-05,0.0001878,2.82e-05,4.23e-05,5.87e-05,0.000216,0.0002066,5.16e-05,4.23e-05,0.0001291,8.45e-05,1.64e-05,0.000108,0.0002605,0.0001948,8.92e-05,0.0003943,0.0003193,4.7e-06,0.0005445,0.0003193,0.0001502,2.82e-05,0.0007017,0.0001784,6.1e-05,0.0002677,0.0003804,0.000634,0.0001972,0.0003428,0.0002324,0.0004483,0.0001362,0.0001878,0.0001455,0.000108,0.0001737,5.16e-05,0.000216,0.0004272,0.0008314,0.0001526,0.0008588,0.0006763,0.0001995,0.0001221,0.000263,0.0005633,0.0003427,0.0005914,0.000115,0.000582,0.0006829,0.0005703,0.0001127,0.0001221,0.0008448,0.0003216,0.0003943,0.0001385,0.0002043,0.0002066,0.000108,0.0002653,3.29e-05,0.0005401,0.0003405,0.0001127,0.0012967,0.0002911,0.0008361,4.23e-05,0.0017528,0.0006008,0.0006149,0.0004459,0.0010699,5.16e-05,0.0053335,8.45e-05,0.0007257,0.0006993,0.0018505,0.0017076,0.0057351,0.002228,0.0008737,0.0033156,7.98e-05,0.0031151,0.0015295,0.0013982,0.000765,0.000371,0.0001737,0.001057,0.0008612,0.0013226,0.0002817,0.0019786,0.0017599,0.0034871,0.002984,0.0009583,0.0110544,0.0025884,0.0004062,0.0052495,0.0014427,0.0045627,0.0020216,0.0020661,0.0014918,0.0006575,0.0037066,0.0031595,0.0015904,0.0031083
n_trips,0.000216,0.0001831,9.4e-06,7.51e-05,0.0001549,5.16e-05,8.45e-05,2.35e-05,0.0001315,7.98e-05,0.0002347,7.51e-05,4.7e-05,2.35e-05,0.000216,0.0002066,5.16e-05,4.23e-05,0.0001455,8.45e-05,0.0001455,0.000108,0.0002864,0.0002066,3.76e-05,0.0003943,0.0003193,4.7e-06,0.0005586,0.0003193,0.0002253,2.82e-05,0.0008072,0.0001784,6.1e-05,0.0001456,0.0003804,0.000634,0.0001972,0.0003428,0.0002347,0.0005586,0.0001362,0.0001878,0.0001455,0.000108,0.0001737,2.35e-05,0.000216,0.0004976,0.0006387,0.0001221,0.0008588,0.0006294,0.0005163,0.0002911,0.0002301,0.0006055,0.0003427,0.0005914,0.0001033,0.000582,0.0007979,0.0007463,0.0001127,0.0001737,0.0008588,0.0003849,0.0003943,0.0002629,0.0002019,0.0002066,3.76e-05,0.0001362,3.29e-05,0.0005401,0.0003334,0.0001127,0.001151,0.0002911,0.0008361,4.23e-05,0.0017528,0.0006008,0.0007744,0.0005023,0.0010793,5.16e-05,0.0053335,8.45e-05,0.000681,0.0008354,0.0023261,0.0017076,0.0057351,0.002228,0.0008737,0.0033156,7.98e-05,0.0037351,0.0015295,0.0018107,0.0008119,0.000371,0.0001737,0.001057,0.0014591,0.0011181,0.0010793,0.0019786,0.0007421,0.0034871,0.0042635,0.0009583,0.0116833,0.0028178,0.0002583,0.0068828,0.0020731,0.0057024,0.0020216,0.0048898,0.0012826,0.0006575,0.0037066,0.0031595,0.0016091,0.0031083
n_complete_trips,7.51e-05,0.0001268,9.4e-06,7.51e-05,4.7e-06,5.16e-05,8.45e-05,2.35e-05,0.0001315,7.98e-05,0.0001408,1.88e-05,3.76e-05,0.0001409,0.000216,0.0002066,5.16e-05,4.23e-05,0.0001127,8.45e-05,0.0001127,0.000108,0.0002347,0.0001831,0.0001409,0.0003943,0.0003193,4.7e-06,0.0005304,0.0003193,7.51e-05,2.82e-05,0.0005961,0.0001784,6.1e-05,0.0003898,0.0003804,0.000634,0.0001972,0.0003428,0.00023,0.000338,0.0001362,0.0001878,0.0001455,0.000108,0.0001737,7.98e-05,0.000216,0.0003568,0.0010241,0.0001831,0.0008588,0.0007233,0.0001174,4.7e-05,0.0002958,0.000521,0.0003427,0.0005914,0.0003334,0.000582,0.000568,0.0003943,0.0001127,7.04e-05,0.0008307,0.0002582,0.0003943,1.41e-05,0.0002066,0.0002066,0.0001784,0.0003945,3.29e-05,0.0005401,0.0003475,0.0001127,0.0014425,0.0002911,0.0008361,4.23e-05,0.0017528,0.0006008,0.0004553,0.0003896,0.0010605,5.16e-05,0.0053335,8.45e-05,0.0007703,0.0005633,0.0013747,0.0017076,0.0057351,0.002228,0.0008737,0.0033156,7.98e-05,0.0024947,0.0015295,0.0009855,0.0007181,0.000371,0.0001737,0.001057,0.0002629,0.0015271,0.0016447,0.0019786,0.0027787,0.0034871,0.0017029,0.0009583,0.010425,0.0023589,0.0005542,0.0036134,0.0008119,0.0034216,0.0020216,0.0007656,0.0017011,0.0006575,0.0037066,0.0031595,0.0015716,0.0031083
n_incomplete_trips,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
n_users,0.0,1.33e-05,0.0001862,6.65e-05,0.0001995,0.0002393,6.65e-05,9.31e-05,0.0003192,0.0001064,2.66e-05,5.32e-05,0.0002261,0.0002127,0.0001197,0.0001064,0.000226,3.99e-05,0.0002793,0.0001197,0.0001728,0.0002659,2.66e-05,0.0002127,0.0001995,0.0001995,0.0002527,6.65e-05,0.0001064,0.0002526,5.32e-05,0.0001197,0.0002393,0.000266,0.0013971,3.99e-05,0.0001064,0.000133,0.000226,0.0002659,0.0001595,0.0001994,1.33e-05,0.0005716,0.0002793,0.0005586,7.98e-05,3.99e-05,0.0002792,0.0005317,3.99e-05,0.0003058,7.98e-05,0.0008513,0.0006118,2.66e-05,9.31e-05,0.0001064,0.000638,0.0002792,0.0003191,0.0002394,0.0004522,0.0002128,3.99e-05,5.32e-05,0.0,0.0001064,3.99e-05,5.32e-05,1.33e-05,3.99e-05,3.99e-05,0.0001064,2.66e-05,0.0004256,0.0001463,3.99e-05,0.0001197,0.0001463,0.0001729,0.0001197,2.66e-05,0.0001197,0.000133,9.31e-05,0.0009702,2.66e-05,0.0003724,0.0005583,0.0009844,0.0003456,1.33e-05,0.0006917,0.0009578,0.0018465,0.000266,0.0005184,0.000226,0.0003722,7.98e-05,0.0006917,0.0005184,0.0005317,0.0003456,0.0005719,5.32e-05,0.0013572,0.0009569,0.0003591,0.0002925,0.000266,0.0017138,1.33e-05,0.0004788,0.0003059,0.0001197,7.98e-05,0.0011042,0.0010909,0.0005317,0.000133,0.0002394,0.0003456,0.0005583,0.0011827,0.0003059,0.0012624
n_locations,0.0088602,0.0048662,0.0278917,0.0120627,0.0271349,0.0192308,0.0349762,0.0130293,0.0302789,0.0419802,0.0657277,0.0072551,0.0660259,0.0130293,0.008058,0.0320592,0.1079219,0.0097561,0.0270603,0.0747664,0.0032415,0.1011475,0.0008087,0.0303901,0.0429752,0.0056795,0.0412882,0.1115355,0.0073082,0.0064935,0.0128617,0.0869565,0.0573674,0.0008087,0.0427553,0.0255591,0.0808081,0.0328947,0.0387629,0.0837209,0.0466219,0.0089395,0.0543093,0.0822343,0.0660259,0.0370828,0.0229133,0.0192308,0.0651629,0.0574282,0.2110912,0.0617181,0.1510845,0.0136601,0.1273666,0.0458498,0.0755668,0.0725146,0.129199,0.0404457,0.0362438,0.0634548,0.1056218,0.0807453,0.0088602,0.0040535,0.0008087,0.0421314,0.0925926,0.0270603,0.0097561,0.0113914,0.0048662,0.003231,0.0270603,0.0073082,0.0328947,0.1237192,0.1011475,0.0024242,0.0566038,0.0128617,0.0438198,0.1002549,0.1731868,0.0387629,0.0540091,0.1322252,0.4646062,0.0412882,0.1682104,0.0120627,0.0764385,0.502272,1.3609789,0.047205,0.760469,0.0975817,0.1836885,0.2421769,0.0008094,0.1709212,0.7001638,,0.1384083,0.0619365,0.1441441,0.0535433,0.0588928,0.0904863,0.0168472,0.0626959,0.4403785,0.4940603,0.3420523,0.292228,0.0040371,0.1769912,0.1021113,0.0785076,0.0664842,0.3080082,0.4097781,0.7822172,1.5904139,1.5517241,0.4496707,0.0379225
uid,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
tid,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
datetime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
lat,0.0150225,0.023998,0.0145254,0.0115375,0.0,0.0342177,0.0060729,0.0086141,0.022965,0.0045512,0.0030318,0.023998,0.0288414,0.0255493,0.0317786,0.0095405,0.0554835,0.0106518,0.0209685,0.0189905,0.0130326,0.0070886,0.0349076,0.01998,0.0485788,0.0065376,0.0317786,0.0511308,0.0302177,0.0086141,0.0303106,0.0086141,0.0126936,0.016016,0.0214176,0.0427725,0.0152517,0.0738581,0.0040282,0.0278607,0.0933141,0.0189905,0.0286592,0.0198726,0.0332424,0.0086141,0.0203874,0.0239282,0.0322661,0.041018,0.0249128,0.0244206,0.0683538,0.0380463,0.0055346,0.0060362,0.0178162,0.0940306,0.0303106,0.0640458,0.0065376,0.0040282,0.0530452,0.0678143,0.0045306,0.0106518,0.0025195,0.0096324,0.0209685,0.0178162,0.0020161,0.0060362,0.0401441,0.0376238,0.0918206,0.0203874,0.0010096,0.0480496,0.1078759,0.0400494,0.0951466,0.003538,0.1047095,0.084122,0.3697306,0.1114817,0.1006889,0.054001,0.0945839,0.2690326,0.3800572,0.1554211,0.0245148,0.2263409,0.1652395,0.0100402,0.0152517,0.0945839,0.0831721,0.3793949,0.1648148,0.3217612,0.185226,0.2522046,0.1816181,0.2640683,0.2208259,0.6216931,0.0184954,0.1293063,0.0463282,0.0371379,0.2612664,0.0296979,0.2742398,0.4307205,0.2972509,0.0193581,0.5004729,0.0173028,0.0327543,0.0439181,0.0025195,0.3497333,0.5814994,0.0563864,0.3420975,0.4454041
