stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_6_rep_0,gauss_True_count_6_rep_1,gauss_True_count_6_rep_2,gauss_True_count_6_rep_3,gauss_True_count_6_rep_4,gauss_True_count_6_rep_5,gauss_True_count_6_rep_6,gauss_True_count_6_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_10_rep_0,gauss_True_count_10_rep_1,gauss_True_count_10_rep_2,gauss_True_count_10_rep_3,gauss_True_count_10_rep_4,gauss_True_count_10_rep_5,gauss_True_count_10_rep_6,gauss_True_count_10_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_14_rep_0,gauss_True_count_14_rep_1,gauss_True_count_14_rep_2,gauss_True_count_14_rep_3,gauss_True_count_14_rep_4,gauss_True_count_14_rep_5,gauss_True_count_14_rep_6,gauss_True_count_14_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_6_rep_0,gauss_False_count_6_rep_1,gauss_False_count_6_rep_2,gauss_False_count_6_rep_3,gauss_False_count_6_rep_4,gauss_False_count_6_rep_5,gauss_False_count_6_rep_6,gauss_False_count_6_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_10_rep_0,gauss_False_count_10_rep_1,gauss_False_count_10_rep_2,gauss_False_count_10_rep_3,gauss_False_count_10_rep_4,gauss_False_count_10_rep_5,gauss_False_count_10_rep_6,gauss_False_count_10_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_14_rep_0,gauss_False_count_14_rep_1,gauss_False_count_14_rep_2,gauss_False_count_14_rep_3,gauss_False_count_14_rep_4,gauss_False_count_14_rep_5,gauss_False_count_14_rep_6,gauss_False_count_14_rep_7
n_records,2.7e-05,1.5e-06,9.3e-06,2.16e-05,1.77e-05,8.5e-06,2.24e-05,1.62e-05,8e-07,1e-05,1.81e-05,3.31e-05,2.3e-06,1.46e-05,8.5e-06,9.25e-05,2.31e-05,9.3e-06,5.94e-05,8.48e-05,2.08e-05,1.46e-05,3.39e-05,4.09e-05,2.04e-05,6.47e-05,1.62e-05,1.08e-05,4.7e-05,5.4e-06,4.24e-05,4.01e-05,2.3e-06,5.82e-05,3.31e-05,2.97e-05,7.52e-05,3.08e-05,4.82e-05,3.7e-05,1.16e-05,7.71e-05,7.4e-05,8.56e-05,1.93e-05,4.7e-05,2.97e-05,1.16e-05,2.78e-05,1.5e-06,5.78e-05,4.01e-05,2.08e-05,9.56e-05,5.01e-05,6.28e-05,8.5e-06,2.39e-05,2.62e-05,2.47e-05,1.16e-05,2.62e-05,5.4e-05,3.35e-05,6.4e-05,2e-05,6.09e-05,6.28e-05,4.63e-05,2.74e-05,0.0,1.85e-05,3.24e-05,1.35e-05,2.7e-05,0.0001145,3.78e-05,1.04e-05,2.08e-05,1.85e-05,0.0002578,1.39e-05,0.0001588,2e-05,0.0005637,0.000153,6.09e-05,3.7e-05,0.0003038,2.62e-05,5.7e-05,8.71e-05,3.01e-05,0.0001665,0.0,0.000249,0.0001869,0.0002782,0.0002112,0.0003877,0.0001156,1.5e-06,1.66e-05,0.0008506,0.0003488,7.09e-05,0.0004755,7.63e-05,0.0001326,0.0002262,2.93e-05,0.000128,2.97e-05,0.000442,0.0001087,0.0002305,0.0004185,6.24e-05,8.09e-05,0.0008822,0.0010855,3.78e-05,0.0003021,0.0001141,0.0003288,0.0001472,0.0001781,0.0001665
n_trips,4.09e-05,1.5e-06,7.7e-06,1.85e-05,1.77e-05,5.4e-06,3.16e-05,1.62e-05,8e-07,1e-05,3.08e-05,3.31e-05,2.3e-06,1.46e-05,8.5e-06,8.79e-05,2.31e-05,1.23e-05,5.94e-05,9.33e-05,2.08e-05,1.46e-05,4.78e-05,5.32e-05,1.16e-05,6.47e-05,1.62e-05,1.08e-05,4.7e-05,1.85e-05,3.16e-05,4.01e-05,2.3e-06,5.94e-05,3.31e-05,1.54e-05,3.62e-05,5.78e-05,3.24e-05,3.7e-05,1.16e-05,7.71e-05,7.86e-05,0.0001017,1.93e-05,4.7e-05,6.9e-06,9.3e-06,2.78e-05,1.62e-05,5.78e-05,4.01e-05,2.08e-05,9.94e-05,5.01e-05,7.32e-05,8.5e-06,2.39e-05,2.62e-05,2.47e-05,1.16e-05,2.62e-05,5.4e-05,4.7e-05,6.4e-05,3.7e-05,6.09e-05,6.4e-05,5.94e-05,3.24e-05,7.7e-06,1.85e-05,3.24e-05,4.09e-05,2.7e-05,0.0001804,1.85e-05,2.93e-05,5.01e-05,1.85e-05,0.0002906,1.39e-05,0.0001588,2e-05,0.0005413,0.0001649,6.09e-05,9.25e-05,0.0002984,2.62e-05,5.7e-05,8.71e-05,5.63e-05,0.0001665,0.0,0.000249,0.0002097,0.000299,0.0002975,0.0004832,0.0001156,0.0001287,7.7e-06,0.0008506,0.0004462,0.0001079,0.0004755,7.63e-05,0.0001326,0.0002405,1.85e-05,0.0001102,3.85e-05,0.0005133,0.0001087,0.0002305,0.0004185,6.24e-05,8.09e-05,0.0008822,0.0010855,3.78e-05,0.0003021,6.78e-05,0.0001187,0.0001472,9.17e-05,0.0001665
n_complete_trips,1.31e-05,1.5e-06,1.08e-05,2.47e-05,1.77e-05,1.16e-05,1.31e-05,1.62e-05,8e-07,1e-05,5.4e-06,3.31e-05,2.3e-06,1.46e-05,8.5e-06,9.71e-05,2.31e-05,6.2e-06,5.94e-05,7.63e-05,2.08e-05,1.46e-05,2e-05,2.85e-05,2.93e-05,6.47e-05,1.62e-05,1.08e-05,4.7e-05,2.93e-05,5.32e-05,4.01e-05,2.3e-06,5.7e-05,3.31e-05,4.39e-05,0.0001141,3.9e-06,6.4e-05,3.7e-05,1.16e-05,7.71e-05,6.94e-05,6.94e-05,1.93e-05,4.7e-05,5.24e-05,1.39e-05,2.78e-05,1.31e-05,5.78e-05,4.01e-05,2.08e-05,9.17e-05,5.01e-05,5.24e-05,8.5e-06,2.39e-05,2.62e-05,2.47e-05,1.16e-05,2.62e-05,5.4e-05,2e-05,6.4e-05,3.1e-06,6.09e-05,6.17e-05,3.31e-05,2.24e-05,7.7e-06,1.85e-05,3.24e-05,1.39e-05,2.7e-05,4.86e-05,5.7e-05,8.5e-06,8.5e-06,1.85e-05,0.0002251,1.39e-05,0.0001588,2e-05,0.000586,0.0001411,6.09e-05,1.85e-05,0.0003092,2.62e-05,5.7e-05,8.71e-05,3.9e-06,0.0001665,0.0,0.000249,0.0001642,0.0002574,0.0001249,0.0002921,0.0001156,0.0001257,2.54e-05,0.0008506,0.0002513,3.39e-05,0.0004755,7.63e-05,0.0001326,0.000212,4.01e-05,0.0001457,2.08e-05,0.0003707,0.0001087,0.0002305,0.0004185,6.24e-05,8.09e-05,0.0008822,0.0010855,3.78e-05,0.0003021,0.0002961,0.000539,0.0001472,0.0002644,0.0001665
n_incomplete_trips,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
n_users,2.64e-05,5.54e-05,1.06e-05,3.17e-05,2.64e-05,3.7e-05,7.9e-06,1.32e-05,3.17e-05,2.9e-05,3.96e-05,1.58e-05,7.9e-06,4.49e-05,6.34e-05,1.32e-05,7.39e-05,3.96e-05,8.98e-05,3.43e-05,2.38e-05,2.9e-05,2.9e-05,1.85e-05,7.66e-05,0.0001109,8.71e-05,8.71e-05,6.07e-05,4.49e-05,1.85e-05,4.75e-05,6.6e-05,3.96e-05,0.0001109,3.43e-05,7.92e-05,2.38e-05,2.38e-05,5.02e-05,5.3e-06,0.0001109,2.6e-06,0.0001294,5.54e-05,5.54e-05,5.81e-05,7.9e-06,6.34e-05,8.45e-05,1.58e-05,2.6e-06,2.6e-06,5.81e-05,3.43e-05,5.3e-06,3.17e-05,7.92e-05,0.0001109,0.0001109,1.06e-05,6.6e-05,2.38e-05,0.0001188,2.6e-06,2.6e-06,1.32e-05,2.6e-06,2.6e-06,0.0,5.3e-06,5.3e-06,4.22e-05,2.38e-05,7.9e-06,5.3e-06,8.71e-05,2.11e-05,4.75e-05,1.32e-05,6.34e-05,4.22e-05,1.06e-05,2.6e-06,5.81e-05,1.06e-05,1.06e-05,7.39e-05,0.0002323,2.38e-05,9.24e-05,5.81e-05,3.17e-05,1.06e-05,2.38e-05,2.11e-05,0.000272,0.0001637,0.0,1.85e-05,0.000169,1.32e-05,0.0001162,1.85e-05,9.24e-05,1.85e-05,5.54e-05,2.64e-05,2.64e-05,2.9e-05,7.13e-05,2.11e-05,0.0002429,5.28e-05,0.0001399,0.0004408,0.0001267,0.0002719,0.000309,3.17e-05,4.49e-05,5.02e-05,1.85e-05,0.0001109,3.7e-05,6.07e-05,0.0003591,0.0001162
n_locations,9.32e-05,0.0002452,0.0001177,0.0001373,0.0001324,8.83e-05,0.0001079,9.32e-05,1.47e-05,4.9e-05,2.94e-05,0.0001079,0.0003138,0.0001913,0.0001864,5.39e-05,0.0001226,0.0003089,0.0003187,0.0001765,0.0005295,0.0004071,5.88e-05,6.87e-05,8.83e-05,0.0005197,8.34e-05,0.000603,3.43e-05,0.0002059,0.0003777,0.0001275,0.0004706,0.000603,0.0004463,0.0003481,0.0003432,0.0002746,0.0004314,0.000353,0.0002992,0.0003089,0.0006814,0.000206,0.0002011,0.0003285,0.0002353,9.32e-05,0.0003384,4.9e-05,0.0007702,0.0009215,0.0008284,1.96e-05,0.0009125,0.0008094,0.0007206,0.0005445,0.0001177,0.0,2.94e-05,0.0003433,0.0003924,0.000466,0.0001128,0.0001667,3.92e-05,6.86e-05,6.87e-05,0.0005984,0.0001226,0.0002256,0.0002746,0.0003628,0.0001226,0.000103,8.34e-05,0.0003873,5.39e-05,0.0001765,4.9e-05,0.0002648,0.0011285,0.0004218,0.0005,0.0005052,0.0001177,0.0027814,0.0020518,0.0016512,0.0038322,1.96e-05,0.0007402,0.0009223,3.43e-05,0.000255,0.0046841,0.0032269,0.0015213,0.0009518,0.0003089,0.0003482,0.0015337,0.0005297,0.0020476,8.83e-05,3.92e-05,0.0021943,0.0022336,0.0036747,0.0036759,0.0019889,0.0007451,0.0081041,0.0004463,0.0013672,0.0008487,0.0029721,0.0019044,0.0008137,0.0030356,0.0049945,0.0062278,0.00496,0.001088,0.0008774,0.0016267,0.0018799
uid,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
tid,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
datetime,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
lat,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
