stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_incomplete_trips,0.998,0.926,1.069,1.035,1.069,1.035,0.707,1.014,1.035,1.069,0.926,1.035,0.926,1.035
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.003,0.002
uid,1.008,1.035,0.0,1.035,1.035,1.035,1.069,1.008,0.926,1.035,0.707,1.069,1.069,1.069
tid,0.984,1.035,1.069,1.035,1.035,1.035,1.035,1.008,0.926,1.035,0.926,1.035,1.035,0.926
datetime,1.014,1.069,1.035,1.069,1.035,1.035,1.035,0.998,1.035,1.035,1.035,1.069,1.035,1.035
lat,1.014,1.035,1.035,1.035,1.035,1.035,0.926,0.998,0.926,1.035,1.035,1.069,1.035,1.035
lng,0.984,1.035,0.707,1.035,0.926,1.069,1.069,0.914,1.035,1.035,1.069,1.069,1.035,0.926
trips_over_time,0.245,0.226,0.268,0.255,0.208,0.2,0.239,0.232,0.089,0.193,0.169,0.01,0.011,0.1
trips_per_weekday,0.297,0.294,0.25,0.282,0.226,0.293,0.289,0.291,0.302,0.362,0.329,0.338,0.197,0.22
trips_per_hour,0.072,0.092,0.073,0.048,0.054,0.092,0.08,0.063,0.074,0.075,0.088,0.07,0.072,0.053
