stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_6_rep_0,gauss_True_count_6_rep_1,gauss_True_count_6_rep_2,gauss_True_count_6_rep_3,gauss_True_count_6_rep_4,gauss_True_count_6_rep_5,gauss_True_count_6_rep_6,gauss_True_count_6_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_10_rep_0,gauss_True_count_10_rep_1,gauss_True_count_10_rep_2,gauss_True_count_10_rep_3,gauss_True_count_10_rep_4,gauss_True_count_10_rep_5,gauss_True_count_10_rep_6,gauss_True_count_10_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_14_rep_0,gauss_True_count_14_rep_1,gauss_True_count_14_rep_2,gauss_True_count_14_rep_3,gauss_True_count_14_rep_4,gauss_True_count_14_rep_5,gauss_True_count_14_rep_6,gauss_True_count_14_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_6_rep_0,gauss_False_count_6_rep_1,gauss_False_count_6_rep_2,gauss_False_count_6_rep_3,gauss_False_count_6_rep_4,gauss_False_count_6_rep_5,gauss_False_count_6_rep_6,gauss_False_count_6_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_10_rep_0,gauss_False_count_10_rep_1,gauss_False_count_10_rep_2,gauss_False_count_10_rep_3,gauss_False_count_10_rep_4,gauss_False_count_10_rep_5,gauss_False_count_10_rep_6,gauss_False_count_10_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_14_rep_0,gauss_False_count_14_rep_1,gauss_False_count_14_rep_2,gauss_False_count_14_rep_3,gauss_False_count_14_rep_4,gauss_False_count_14_rep_5,gauss_False_count_14_rep_6,gauss_False_count_14_rep_7
n_records,0.0506024,0.016317,0.0180495,0.0151603,0.0312319,0.017783,0.0609513,0.0197789,0.0225787,0.054315,0.025522,0.0768761,0.020178,0.021978,0.021978,0.0273973,0.0945984,0.1409066,0.0266667,0.0426043,0.0374748,0.0470453,0.0806846,0.0249851,0.0947692,0.0041213,0.0087745,0.0642814,0.0070755,0.0444444,0.0615034,0.1713672,0.0456731,0.0624053,0.0130101,0.0448018,0.0286055,0.1347945,0.1221945,0.0615034,0.0174723,0.0419916,0.059293,0.0231798,0.1975468,0.0310263,0.2079495,0.0116822,0.0249851,0.0693009,0.0498425,0.0237812,0.0300926,0.0289519,0.1052046,0.1214128,0.0147973,0.2233834,0.0699301,0.0833333,0.0225787,0.1738197,0.1276128,0.0266667,0.0225787,0.0570776,0.0674157,0.0142012,0.0058928,0.0209302,0.0743449,0.0,0.0887142,0.0220802,0.2003878,0.053745,0.0220802,0.2018111,0.0549351,0.1820513,0.0854893,0.2190352,0.0924629,0.2659195,0.41046,0.1025324,0.0531884,0.0730258,0.4248033,0.52513,0.5190342,0.5758608,0.4648805,1.9581395,0.1653944,1.0447227,0.213264,0.444952,0.5925362,0.1653944,1.4558376,0.1550136,0.1936853,0.0705596,1.6135881,0.3867299,0.363068,0.0011758,0.7054573,0.012843,0.0883436,0.0549351,0.1932059,0.8557047,0.0011744,0.7242897,0.5493288,0.1801657,0.0380403,0.2528127,0.217801,,0.3618864,0.0896255,0.563253,0.0165877,0.0833333,0.7324521
n_trips,0.0506024,0.016317,0.0402994,0.0232288,0.0436782,0.017783,0.0713881,0.0197789,0.0225787,0.054315,0.034642,0.0768761,0.020178,0.0011744,0.0093567,0.0273973,0.1109878,0.1409066,0.0391705,0.0273973,0.0380403,0.0470453,0.0806846,0.0094451,0.0947692,0.0035315,0.0243761,0.0642814,0.0070755,0.0444444,0.0615034,0.2065332,0.0456731,0.0555556,0.0082596,0.0448018,0.0286055,0.1347945,0.1221945,0.0615034,0.0174723,0.0419916,0.059293,0.0023474,0.1975468,0.0310263,0.2289282,0.0116822,0.0380403,0.0605327,0.1057318,0.0011744,0.0637088,0.0289519,0.1203755,0.1214128,0.0174723,0.2233834,0.0273973,0.0833333,0.0225787,0.1989418,0.1276128,0.0266667,0.0225787,0.0681044,0.0617807,0.0094451,0.0058928,0.0209302,0.0743449,0.0,0.0887142,0.025522,0.2003878,0.053745,0.0220802,0.2018111,0.0506024,0.1820513,0.0854893,0.2190352,0.1728395,0.2659195,0.41527,0.1025324,0.1398907,0.1398907,0.4762757,0.5875519,0.5276817,0.5690566,0.4648805,1.9581395,0.1489899,1.0447227,0.065534,0.4817128,0.5925362,0.1653944,1.0420018,0.1609941,0.1979884,0.0023529,1.2952565,0.3950967,0.3943396,0.0448018,0.7387921,0.0648096,0.0883436,0.0887142,0.1932059,0.8557047,0.0011744,0.3475862,0.6692729,0.2516692,0.0940649,0.2528127,0.217801,,0.3618864,0.0506024,0.563253,0.0504009,0.0833333,0.7485294
n_complete_trips,0.0506024,0.016317,0.0047114,0.0070258,0.0186263,0.017783,0.0504009,0.0197789,0.0225787,0.054315,0.016317,0.0768761,0.020178,0.0456731,0.054315,0.0273973,0.0779221,0.1409066,0.0140023,0.0580411,0.0369089,0.0470453,0.0806846,0.0407674,0.0947692,0.0047114,0.0070755,0.0642814,0.0070755,0.0444444,0.0615034,0.1347945,0.0456731,0.0693009,0.017783,0.0448018,0.0286055,0.1347945,0.1221945,0.0615034,0.0174723,0.0419916,0.059293,0.0493679,0.1975468,0.0310263,0.1864678,0.0116822,0.0921942,0.0781441,0.0094451,0.0493679,0.0047114,0.0289519,0.0897868,0.1214128,0.0481348,0.2233834,0.1142857,0.0833333,0.0225787,0.1479869,0.1276128,0.0266667,0.0225787,0.0459242,0.0730816,0.0189798,0.0058928,0.0209302,0.0743449,0.0,0.0887142,0.0186263,0.2003878,0.053745,0.0220802,0.2018111,0.0592861,0.1820513,0.0854893,0.2190352,0.0046893,0.2659195,0.4056206,0.1025324,0.0419916,0.0011744,0.3697318,0.4569356,0.5102845,0.5827011,0.4648805,1.9581395,0.1820513,1.0447227,0.3837535,0.406367,0.5925362,0.1653944,2.0,0.148994,0.1893617,0.1435768,2.0,0.3782754,0.3305542,0.0493679,0.6703125,0.0419916,0.0883436,0.2219321,0.1932059,0.8557047,0.0011744,1.2449952,0.4056206,0.1025641,0.0213777,0.2528127,0.217801,2.0,0.3618864,0.1301627,0.563253,0.0883436,0.0833333,0.7159562
n_incomplete_trips,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
n_users,0.0979827,0.0507042,0.1090909,0.0392157,0.0163488,0.0564972,0.0842105,0.0217391,0.010929,0.0222222,0.0271003,0.0163488,0.0392157,0.08,0.0163488,0.0586667,0.1101449,0.1381074,0.0166205,0.1041667,0.010929,0.0449438,0.1754386,0.128655,0.0791557,0.0507042,0.0979827,0.1666667,0.0842105,0.0689655,0.1708543,0.0392157,0.128655,0.1890547,0.0335196,0.0335196,0.0681818,0.010929,0.2060606,0.1237113,0.1348974,0.1538462,0.1602374,0.1237113,0.1381074,0.118863,0.0278552,0.010929,0.0689655,0.118863,0.1348974,0.0054795,0.0377358,0.1090909,0.0377358,0.1731343,0.2243902,0.0055096,0.1381074,0.2830189,0.3713355,0.1041667,0.1101449,0.1040462,0.0163488,0.0,0.0324324,0.0534759,0.0055096,0.010929,0.0222222,0.0324324,0.0271003,0.0278552,0.0222222,0.0324324,0.1538462,0.0054795,0.0110497,0.0377358,0.0482574,0.0110497,0.0,0.0564972,0.1381074,0.1041667,0.0163488,0.0335196,0.1428571,0.1708543,0.0163488,0.1662469,0.0377358,0.1666667,0.0842105,0.1041667,0.6764706,0.24,0.6,0.2748815,0.2068966,0.2113022,0.1040462,0.1411765,0.24,0.1666667,0.0507042,0.1754386,0.122449,0.1708543,0.5724382,0.0449438,0.0110497,0.0534759,0.3640449,0.18,0.0335196,0.1475827,0.091954,0.6,0.1602374,0.4026403,0.1522843,0.4510638,0.6185958,0.4511785,0.3111111,0.1040462
n_locations,0.0253165,0.0029718,0.0023781,0.004158,0.0005951,0.0029718,0.0088889,0.0047733,0.0083682,0.0295983,0.0017873,0.0258519,0.0413874,0.0041754,0.0379562,0.0047733,0.0176991,0.0228778,0.0035778,0.0487805,0.0083682,0.0448065,0.0065263,0.0223661,0.0029718,0.0089686,0.0436681,0.0270112,0.0246914,0.0206186,0.0357467,0.0176991,0.004158,0.0071174,0.0302115,0.0253165,0.0118343,0.0246914,0.020445,0.0168067,0.011976,0.0487805,0.0544176,0.014771,0.115007,0.0240964,0.0130101,0.0235294,0.0095694,0.0270112,0.0425532,0.034513,0.0444174,0.0168067,0.0023781,0.0131815,0.0168067,0.0476467,0.0708783,0.0017841,0.0594545,0.0357467,0.0504787,0.0785648,0.0011898,0.0721554,0.0326679,0.0059347,0.0065263,0.004158,0.0235294,0.0168067,0.0143885,0.033938,0.1306278,0.0241106,0.1996727,0.18231,0.1733506,0.0326679,0.0448065,0.0327869,0.0431742,0.1964573,0.1072437,0.0165289,0.0442375,0.195361,0.098472,0.0314389,0.033938,0.1846554,0.0645161,0.0650734,0.2422182,0.0023838,0.0843786,0.3605758,0.2207535,0.745098,0.093076,0.1212121,0.0247062,0.0805484,0.7837614,0.3140496,0.0,0.2094325,0.0941103,1.3283804,0.4594223,0.3834496,0.8791774,1.8799076,0.0578035,0.0941577,0.295082,0.5644093,0.056933,0.1390197,0.2942984,0.1726479,0.135367,0.1019706,0.2804504,1.0953478,0.207522,0.519685
uid,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
tid,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
datetime,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
lat,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0
