stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.063,0.034,0.062,0.064,0.074,0.057,0.093,0.269,0.103,0.163,0.411,0.403,0.349,0.295
n_trips,0.067,0.031,0.062,0.063,0.074,0.067,0.091,0.262,0.103,0.193,0.339,0.389,0.333,0.297
n_complete_trips,0.064,0.04,0.062,0.066,0.074,0.059,0.099,0.353,0.103,0.141,0.504,0.473,0.385,0.52
n_incomplete_trips,0.938,0.75,1.25,0.5,0.5,1.5,0.75,1.062,0.5,1.0,1.5,1.75,1.0,0.75
n_users,0.105,0.034,0.091,0.099,0.109,0.086,0.168,0.183,0.04,0.051,0.307,0.193,0.185,0.331
n_locations,0.028,0.019,0.022,0.018,0.038,0.024,0.045,0.328,0.099,0.085,0.216,0.447,0.496,0.351
uid,1.0,0.5,0.75,1.0,1.25,1.0,1.0,1.438,0.25,0.75,1.25,1.5,1.25,1.5
tid,0.938,0.5,1.0,0.5,0.5,0.75,1.25,0.938,0.5,0.75,0.75,1.0,0.5,0.5
datetime,0.875,1.25,1.0,0.5,0.75,0.75,1.5,0.812,1.25,0.75,0.5,0.25,0.5,1.5
lat,0.75,1.0,1.25,0.75,0.5,0.75,0.75,1.0,1.5,0.5,0.5,0.5,1.25,1.0
lng,1.188,1.25,0.5,1.25,1.25,1.75,0.75,0.75,1.25,1.25,0.75,0.25,0.75,1.25
trips_over_time,1.447,1.394,1.437,1.503,1.506,1.577,1.536,1.524,1.374,1.465,1.703,1.637,1.624,1.746
trips_per_weekday,0.164,0.073,0.087,0.107,0.194,0.188,0.219,0.409,0.101,0.171,0.356,0.451,0.534,0.619
trips_per_hour,0.968,0.749,0.885,0.984,1.045,1.06,1.117,1.069,0.705,0.972,1.225,1.226,1.321,1.284
