stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.001,0.003,0.003
n_trips,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.002,0.003,0.003
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.001,0.003,0.003
n_incomplete_trips,1.062,1.25,1.0,0.5,1.5,1.25,1.0,1.0,1.0,0.75,1.0,0.75,1.25,0.75
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001
n_locations,0.041,0.021,0.035,0.051,0.034,0.048,0.065,0.348,0.041,0.131,0.616,0.4,0.544,0.468
uid,1.312,1.25,0.75,0.5,0.5,1.5,1.25,1.125,0.5,1.25,1.0,1.0,0.75,1.25
tid,1.0,0.75,0.5,1.5,1.25,0.75,0.75,0.875,0.75,1.25,0.75,1.0,1.0,0.75
datetime,0.75,1.5,1.0,1.25,0.75,0.75,1.0,0.875,1.25,1.0,0.75,0.5,0.75,1.25
lat,0.033,0.014,0.024,0.034,0.036,0.043,0.035,0.207,0.063,0.09,0.173,0.211,0.421,0.182
lng,0.03,0.019,0.022,0.028,0.028,0.032,0.052,0.218,0.053,0.138,0.133,0.185,0.31,0.349
trips_over_time,0.016,0.006,0.01,0.011,0.025,0.013,0.02,0.046,0.008,0.019,0.053,0.033,0.066,0.083
trips_per_weekday,0.244,0.263,0.234,0.379,0.173,0.31,0.161,0.334,0.241,0.285,0.293,0.307,0.395,0.38
trips_per_hour,0.538,0.527,0.56,0.542,0.56,0.531,0.543,0.574,0.485,0.51,0.592,0.606,0.571,0.624
