stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.001,0.002,0.002
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.001,0.002,0.002
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.001,0.002,0.002
n_incomplete_trips,1.014,1.035,1.069,0.926,0.926,1.035,1.069,1.016,1.069,1.035,1.069,1.035,1.035,1.035
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001
n_locations,0.041,0.025,0.028,0.04,0.029,0.034,0.06,0.363,0.027,0.147,0.57,0.296,0.489,0.293
uid,0.965,1.035,1.035,0.926,0.926,0.926,1.035,1.008,0.926,1.035,1.069,1.069,1.035,1.035
tid,1.016,1.035,0.926,0.926,1.035,1.035,1.035,1.008,1.035,1.035,1.035,1.069,1.069,1.035
datetime,0.984,0.926,1.069,1.035,1.035,1.035,1.069,1.008,1.035,1.069,1.035,0.926,1.035,1.035
lat,0.022,0.011,0.018,0.029,0.024,0.026,0.018,0.256,0.052,0.067,0.188,0.208,0.368,0.124
lng,0.03,0.014,0.015,0.022,0.015,0.025,0.044,0.208,0.041,0.159,0.144,0.153,0.266,0.156
trips_over_time,0.012,0.003,0.003,0.006,0.014,0.008,0.01,0.048,0.004,0.015,0.039,0.013,0.047,0.059
trips_per_weekday,0.213,0.179,0.257,0.189,0.151,0.263,0.215,0.219,0.195,0.229,0.243,0.205,0.252,0.188
trips_per_hour,0.063,0.062,0.073,0.093,0.07,0.059,0.058,0.088,0.097,0.117,0.066,0.083,0.034,0.093
