stat,gauss_True_count_1_,gauss_True_count_3_,gauss_True_count_5_,gauss_True_count_7_,gauss_True_count_9_,gauss_True_count_11_,gauss_True_count_13_,gauss_True_count_15_,gauss_False_count_1_,gauss_False_count_3_,gauss_False_count_5_,gauss_False_count_7_,gauss_False_count_9_,gauss_False_count_11_,gauss_False_count_13_,gauss_False_count_15_
n_records,8e-05,0.00012,0.00011,0.00023,0.00035,0.00019,0.00044,0.00046,0.00029,0.00037,0.00068,0.0023,0.00143,0.00137,0.00366,0.00223
n_trips,0.0001,0.00013,0.00013,0.00024,0.00034,0.0002,0.00047,0.0005,0.00032,0.00033,0.0007,0.00237,0.00157,0.00139,0.00433,0.00255
n_complete_trips,6e-05,0.00012,0.00012,0.00023,0.00035,0.00017,0.00044,0.00045,0.00026,0.00042,0.00065,0.00222,0.0013,0.00161,0.00298,0.00209
n_incomplete_trips,0.75,1.0,1.0,0.75,0.5,0.75,1.5,1.25,1.25,1.0,0.75,0.75,0.75,1.0,1.75,0.75
n_users,0.00011,0.00015,0.00017,0.00016,0.00033,0.00024,0.00034,0.00029,4e-05,0.00013,0.00021,0.00072,0.0004,0.00053,0.00061,0.00057
n_locations,0.01851,0.03305,0.04439,0.03939,0.04533,0.04217,0.09167,0.07547,0.02458,0.03783,0.07647,0.33413,0.30797,0.07837,0.2413,0.64953
uid,1.5,1.0,0.75,0.75,1.25,0.75,0.75,1.25,1.0,0.5,1.0,1.5,0.75,1.25,1.0,1.25
tid,1.0,0.5,0.5,0.25,1.25,1.5,0.75,1.5,0.75,1.0,1.0,1.5,1.5,1.25,0.5,1.0
datetime,0.0,0.5,1.0,0.5,1.0,1.0,0.75,1.0,1.5,0.5,1.25,1.0,0.75,1.0,1.0,0.5
lat,0.01425,0.01878,0.02264,0.02697,0.02674,0.03088,0.03007,0.0422,0.00927,0.04837,0.11543,0.16565,0.18705,0.18993,0.22879,0.23179
lng,0.01491,0.01119,0.02394,0.03266,0.02834,0.02953,0.04022,0.05427,0.02709,0.06014,0.18657,0.26122,0.23005,0.35395,0.16835,0.28013
trips_over_time,0.00547,0.00784,0.00977,0.016,0.02279,0.02086,0.01925,0.01578,0.00424,0.0193,0.02939,0.03583,0.03816,0.0735,0.0652,0.03589
trips_per_weekday,0.25897,0.40468,0.26769,0.15821,0.26962,0.26025,0.28845,0.2576,0.25627,0.23501,0.37742,0.33702,0.31542,0.48742,0.30618,0.47211
trips_per_hour,0.53411,0.53154,0.52014,0.55224,0.50925,0.51706,0.51775,0.55077,0.45046,0.52566,0.52229,0.56014,0.53656,0.55256,0.56675,0.62535
