stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_incomplete_trips,0.812,0.5,1.0,1.25,1.0,0.75,0.25,0.938,1.25,1.0,1.5,1.25,0.5,0.75
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.002,0.002,0.003
uid,1.125,0.75,2.0,0.75,1.25,0.75,1.0,1.125,0.5,1.25,0.25,1.0,1.0,1.0
tid,1.25,1.25,1.0,0.75,1.25,1.25,0.75,1.125,0.5,0.75,0.5,1.25,0.75,1.5
datetime,0.938,1.0,0.75,1.0,1.25,0.75,1.25,1.188,0.75,1.25,1.25,1.0,1.25,1.25
lat,0.938,0.75,1.25,0.75,1.25,0.75,0.5,0.812,0.5,1.25,1.25,1.0,0.75,0.75
lng,0.75,1.25,0.25,1.25,0.5,1.0,1.0,0.562,1.25,0.75,1.0,1.0,0.75,0.5
trips_over_time,0.494,0.488,0.514,0.456,0.595,0.567,0.526,0.565,0.137,0.545,0.604,0.683,0.679,0.651
trips_per_weekday,0.552,0.379,0.661,0.569,0.798,0.46,0.509,0.647,0.642,0.393,0.599,0.58,0.647,0.814
trips_per_hour,0.482,0.516,0.475,0.506,0.47,0.481,0.486,0.494,0.475,0.496,0.494,0.508,0.495,0.486
