stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
n_records,0.061,0.021,0.04,0.043,0.081,0.038,0.076,0.361,0.079,0.125,0.456,0.547,0.32,0.27
n_trips,0.066,0.025,0.045,0.044,0.088,0.045,0.084,0.316,0.079,0.108,0.348,0.439,0.289,0.275
n_complete_trips,0.06,0.021,0.039,0.042,0.074,0.043,0.068,0.521,0.079,0.144,0.626,0.652,0.443,0.641
n_incomplete_trips,1.014,1.035,1.035,0.926,0.926,0.926,1.035,1.014,0.926,1.069,0.926,0.707,1.069,1.035
n_users,0.081,0.024,0.06,0.074,0.057,0.057,0.117,0.188,0.047,0.048,0.212,0.167,0.202,0.181
n_locations,0.027,0.016,0.017,0.009,0.035,0.016,0.026,0.437,0.08,0.073,0.238,0.43,0.63,0.328
uid,1.016,0.926,1.035,1.069,1.035,1.069,1.069,0.914,0.707,1.035,1.035,0.926,1.035,0.926
tid,1.014,0.926,1.069,0.926,0.926,1.035,1.035,1.014,0.926,1.035,1.035,1.069,0.926,0.926
datetime,1.008,1.035,1.069,0.926,1.035,1.035,0.926,0.998,1.035,1.035,0.926,0.707,0.926,0.926
lat,0.984,1.069,1.035,1.035,0.926,1.035,1.035,1.016,0.926,0.926,0.926,0.926,1.035,1.069
lng,0.998,1.035,0.926,1.035,1.035,0.707,1.035,0.984,1.035,1.035,1.035,0.707,1.035,1.035
trips_over_time,0.19,0.065,0.095,0.077,0.095,0.116,0.105,0.283,0.09,0.142,0.138,0.104,0.136,0.131
trips_per_weekday,0.087,0.026,0.024,0.041,0.069,0.055,0.084,0.33,0.052,0.071,0.083,0.337,0.229,0.288
trips_per_hour,0.197,0.038,0.079,0.057,0.088,0.067,0.039,0.373,0.072,0.059,0.117,0.077,0.07,0.068
