stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_6_rep_0,gauss_True_count_6_rep_1,gauss_True_count_6_rep_2,gauss_True_count_6_rep_3,gauss_True_count_6_rep_4,gauss_True_count_6_rep_5,gauss_True_count_6_rep_6,gauss_True_count_6_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_10_rep_0,gauss_True_count_10_rep_1,gauss_True_count_10_rep_2,gauss_True_count_10_rep_3,gauss_True_count_10_rep_4,gauss_True_count_10_rep_5,gauss_True_count_10_rep_6,gauss_True_count_10_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_14_rep_0,gauss_True_count_14_rep_1,gauss_True_count_14_rep_2,gauss_True_count_14_rep_3,gauss_True_count_14_rep_4,gauss_True_count_14_rep_5,gauss_True_count_14_rep_6,gauss_True_count_14_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_6_rep_0,gauss_False_count_6_rep_1,gauss_False_count_6_rep_2,gauss_False_count_6_rep_3,gauss_False_count_6_rep_4,gauss_False_count_6_rep_5,gauss_False_count_6_rep_6,gauss_False_count_6_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_10_rep_0,gauss_False_count_10_rep_1,gauss_False_count_10_rep_2,gauss_False_count_10_rep_3,gauss_False_count_10_rep_4,gauss_False_count_10_rep_5,gauss_False_count_10_rep_6,gauss_False_count_10_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_14_rep_0,gauss_False_count_14_rep_1,gauss_False_count_14_rep_2,gauss_False_count_14_rep_3,gauss_False_count_14_rep_4,gauss_False_count_14_rep_5,gauss_False_count_14_rep_6,gauss_False_count_14_rep_7
n_records,0.0002747,0.000169,0.0001456,0.0001056,9.86e-05,0.0001362,0.000169,2.82e-05,7.04e-05,5.4e-05,0.0001197,9.39e-05,0.0002981,0.0001925,7.51e-05,8.45e-05,0.0006055,0.0003381,0.0002441,0.0003849,0.0001033,8.92e-05,0.0002066,0.0004039,0.000169,0.0005867,0.0001338,0.0001315,2.35e-05,4.23e-05,0.0003193,0.0002677,0.0003521,0.0008495,4.23e-05,4.7e-05,0.000216,0.0005562,7.04e-05,0.0001315,0.0001855,0.0006219,0.0004508,7.98e-05,9.62e-05,0.0002371,0.0001362,0.0002089,0.0007181,0.0008635,0.0002137,0.0003804,0.0007092,0.0003521,0.0004131,0.0007721,0.000324,2.35e-05,0.0005424,0.0002911,0.0008119,0.0002958,8.92e-05,0.0003427,3.29e-05,8.45e-05,9.86e-05,0.0003403,0.0001573,7e-06,0.0001174,1.41e-05,0.0003192,0.0004086,0.000162,0.0001268,0.0003004,0.0003192,2.82e-05,0.0001362,0.0002841,0.0001174,0.0013278,0.0007186,0.0005867,0.0016748,4.23e-05,0.0005351,4.23e-05,0.0011684,6.81e-05,0.0032355,0.0009489,0.0002207,0.0007421,0.0002582,0.000775,0.0010746,9.39e-05,0.000721,0.0009667,0.0001807,0.0021153,0.0085345,0.000324,0.0009151,0.0036766,0.0015388,0.0017716,0.0001432,0.0006998,0.0003239,0.0011933,0.000392,0.0049178,0.0037538,0.0034145,0.0064957,0.0007275,0.0001737,0.0054643,0.0005119,0.0003663,0.0032355,0.0011215,0.0051,0.0050129,0.0010512
n_trips,0.000263,0.000169,0.0001456,0.0001315,9.86e-05,0.0001362,0.000169,2.82e-05,7.04e-05,0.0,0.0001174,0.0001643,0.0003098,0.0001925,9.39e-05,8.45e-05,0.000826,0.0003381,0.0003051,0.0004694,0.0001502,8.92e-05,0.0002066,0.0004039,0.000169,0.0006665,0.0001972,0.0001315,0.0001502,4.7e-05,0.0001362,0.0002677,0.0003521,0.0008542,4.23e-05,4.7e-05,0.000216,0.0008588,7.04e-05,0.0001315,0.0001737,0.0006524,0.0004508,7.98e-05,0.0002253,0.0002535,0.0001596,0.0003662,0.0007181,0.0009198,0.0001503,0.0003804,0.0007092,0.0003755,0.0005351,0.000826,0.0003146,2.35e-05,0.0005072,0.0002911,0.0009855,0.0002958,8.92e-05,0.0004459,4.7e-06,0.0001033,9.86e-05,0.0005116,0.0002253,0.0,0.0001174,1.41e-05,0.000338,0.0003898,0.0002817,0.0001268,0.0003004,0.0003192,0.0001268,0.0001362,0.0002536,0.0001174,0.0013278,0.0007186,0.0006243,0.0016748,4.23e-05,0.0007134,0.0003192,0.0012856,9.86e-05,0.0032355,0.0009207,0.0002207,0.0007421,0.0002582,0.0006716,0.0010746,9.39e-05,0.0001409,0.0009667,0.0003615,0.0021153,0.0089045,0.000324,0.0015435,0.004829,0.0015388,0.0017716,0.0018013,0.0006998,0.0003239,0.0009912,0.0005398,0.0049178,0.0044692,0.0025104,0.0064957,0.0007275,0.00122,0.0054643,0.0003755,6.57e-05,0.0029058,0.0011215,0.0051,0.0050129,0.0010512
n_complete_trips,0.0002864,0.000169,0.0001456,7.98e-05,9.86e-05,0.0001362,0.000169,2.82e-05,7.04e-05,0.000108,0.0001221,2.35e-05,0.0002864,0.0001925,5.63e-05,8.45e-05,0.0003849,0.0003381,0.0001831,0.0003004,5.63e-05,8.92e-05,0.0002066,0.0004039,0.000169,0.0005069,7.04e-05,0.0001315,0.0001033,0.0001315,0.0005025,0.0002677,0.0003521,0.0008448,4.23e-05,4.7e-05,0.000216,0.0002535,7.04e-05,0.0001315,0.0001972,0.0005914,0.0004508,7.98e-05,3.29e-05,0.0002206,0.0001127,5.16e-05,0.0007181,0.0008072,0.0002771,0.0003804,0.0007092,0.0003286,0.0002911,0.0007181,0.0003334,2.35e-05,0.0005777,0.0002911,0.0006383,0.0002958,8.92e-05,0.0002394,7.04e-05,6.57e-05,9.86e-05,0.000169,8.92e-05,1.41e-05,0.0001174,1.41e-05,0.0003004,0.0004274,4.23e-05,0.0001268,0.0003004,0.0003192,0.0001831,0.0001362,0.0003146,0.0001174,0.0013278,0.0007186,0.0005492,0.0016748,4.23e-05,0.0003568,0.0002348,0.0010512,0.0002348,0.0032355,0.0009771,0.0002207,0.0007421,0.0002582,0.0008784,0.0010746,9.39e-05,0.0013014,0.0009667,0.0,0.0021153,0.0081643,0.000324,0.0002864,0.0025228,0.0015388,0.0017716,0.0015177,0.0006998,0.0003239,0.0013954,0.0002441,0.0049178,0.0030378,0.0043195,0.0064957,0.0007275,0.0008737,0.0054643,0.0014001,0.0006669,0.0035653,0.0011215,0.0051,0.0050129,0.0010512
n_incomplete_trips,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
n_users,5.32e-05,0.000133,1.33e-05,0.000133,5.32e-05,0.0001596,1.33e-05,9.31e-05,2.66e-05,0.0001064,5.32e-05,7.98e-05,0.000133,3.99e-05,3.99e-05,0.0001995,0.000133,7.98e-05,0.0001197,0.0002393,9.31e-05,0.0003191,1.33e-05,0.0003456,0.0003059,0.0005187,2.66e-05,5.32e-05,0.0002925,7.98e-05,0.0002793,0.0006115,7.98e-05,0.0003857,1.33e-05,0.0006917,5.32e-05,0.0004256,0.0002659,0.0005985,0.0002526,0.000399,9.31e-05,0.0007709,2.66e-05,3.99e-05,0.0006251,0.0001064,1.33e-05,0.0005716,0.0004655,0.0001595,0.0003456,0.0001197,0.0001197,0.0002925,0.0004121,0.0002527,0.0003324,0.0002394,0.0005586,0.0006783,0.0007449,0.0004918,0.0,2.66e-05,2.66e-05,0.000133,6.65e-05,0.0001064,1.33e-05,2.66e-05,7.98e-05,6.65e-05,3.99e-05,2.66e-05,6.65e-05,0.0002792,0.0001463,7.98e-05,0.0004921,2.66e-05,3.99e-05,0.0012756,0.0004918,0.0002925,0.0001595,0.0008247,0.0002925,0.0003591,0.0001861,0.0003722,0.0001064,0.0001197,0.0006513,0.0002127,0.0002526,0.000133,0.0002261,0.0004121,1.33e-05,3.99e-05,0.0003855,0.0006251,5.32e-05,0.0024568,0.0010632,9.31e-05,0.0011175,0.0006912,0.0004121,0.000226,3.99e-05,0.0002393,0.000133,0.0001463,0.000452,0.0002127,0.0011296,0.000452,0.0004788,0.0017403,0.001581,3.99e-05,0.0013305,0.0014748,0.0001861,0.0002261
n_locations,0.0064516,0.0160514,0.0072551,0.0113914,0.0294938,0.003231,0.0144578,0.0489018,0.0073082,0.0171359,0.0231907,0.0271349,0.0,0.0056474,0.0056795,0.0785076,0.0543093,0.0712191,0.0373164,0.0128617,0.0040535,0.0113914,0.0712191,0.0136601,0.0310633,0.0196078,0.0463576,0.0489345,0.0617181,0.1011475,0.0302789,0.0237413,0.0762646,0.0216086,0.1158537,0.0984615,0.0396511,0.0081235,0.0320592,0.0184369,0.0550747,0.0412044,0.0176423,0.0388735,0.0120627,0.0072551,0.0904863,0.0097561,0.0651629,0.0341948,0.1272727,0.0263473,0.0262295,0.0341948,0.0318471,0.0412044,0.0302789,0.1837456,0.0349762,0.0443038,0.008058,0.059142,0.129199,0.0270603,0.0064935,0.0008087,0.0657277,0.0163132,0.0089395,0.0387629,0.0088602,0.0008094,0.0535433,0.0694851,0.0362438,0.0287081,0.0677541,0.0643006,0.0008087,0.0097561,0.1934339,0.0253994,0.033731,0.2120805,0.0187832,0.109369,0.4364326,0.0152549,0.1837456,0.5480176,0.0896445,0.1969365,0.0540091,,0.0130293,0.2995349,0.2482947,0.0497512,0.0913706,1.7005988,0.2190202,0.9082353,0.914361,0.7963801,0.5669782,0.5327869,0.0851961,0.0104628,0.3240678,0.442344,0.2910102,0.9446099,0.3932402,0.873034,0.3143539,,0.0024242,0.4862217,0.2585656,1.4767932,0.8074957,0.6424372,0.0617181,0.342018,,0.1495652,0.5173116,0.7589286
uid,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
tid,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
datetime,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
lat,0.0385948,0.0120361,0.0115375,0.0193581,0.0214176,0.0184954,0.0045512,0.0198726,0.0010086,0.0214624,0.0194854,0.0070387,0.0,0.0296979,0.0065376,0.0249128,0.0135304,0.0116722,0.0611396,0.0198726,0.0080402,0.0100402,0.0328205,0.0332424,0.0307998,0.0400494,0.0506516,0.0020161,0.0342177,0.0090407,0.0390799,0.052291,0.013716,0.0095405,0.0219561,0.02737,0.0907173,0.0178162,0.026067,0.0653978,0.0775681,0.0203874,0.0364757,0.0406692,0.0390947,0.0096324,0.0045512,0.0565499,0.0492126,0.0434353,0.0249128,0.0890646,0.0142276,0.0427725,0.015764,0.0663415,0.0563864,0.0448829,0.0535232,0.0050327,0.0338635,0.0444006,0.0184954,0.0254047,0.0065376,0.0050582,0.022965,0.0142276,0.0040445,0.0250319,0.0312888,0.0070387,0.1045925,0.0115375,0.0105395,0.0885142,0.0639805,0.0015148,0.146183,0.0743066,0.1415451,0.1235503,0.2058987,0.1141333,0.0337302,0.031258,0.0597161,0.0096324,0.0204744,0.0990204,0.0322994,0.0145254,0.0356789,0.0322994,0.0942308,0.2886836,0.0962454,0.0443528,0.0699739,0.0317776,0.2586895,0.0864108,0.2009994,0.5959398,0.0060362,0.1579926,0.0070886,0.0501722,0.3344538,0.5731905,0.1467976,0.4097264,0.0010096,0.909641,0.7480069,0.0819328,0.7546908,0.1745337,0.0984648,0.6025031,0.1069723,0.2058987,0.3410755,0.1490919,0.3235356,0.0296979,0.0276215,0.2686176
