stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_incomplete_trips,0.75,1.0,1.0,0.75,0.0,1.0,1.0,1.25,1.75,0.75,1.0,1.0
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.003,0.002
uid,0.75,0.75,1.5,1.0,0.75,0.5,1.167,0.75,0.75,1.0,1.25,0.75
tid,1.083,1.5,0.75,1.5,1.0,0.75,0.917,1.0,0.5,0.75,0.75,1.25
datetime,0.917,0.5,1.0,1.0,1.25,1.0,1.333,1.25,1.0,1.25,0.75,1.75
lat,1.333,1.0,1.25,0.75,1.75,1.0,0.917,1.25,1.25,1.0,1.0,1.0
lng,1.25,1.25,1.0,0.75,1.25,1.25,0.833,1.5,1.5,0.5,0.75,1.0
trips_over_time,0.003,0.002,0.002,0.003,0.004,0.004,0.004,0.002,0.003,0.004,0.004,0.006
trips_per_weekday,0.003,0.002,0.002,0.003,0.003,0.004,0.005,0.002,0.003,0.005,0.006,0.007
trips_per_hour,0.008,0.006,0.007,0.008,0.009,0.009,0.011,0.006,0.008,0.012,0.014,0.015
