stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001
n_complete_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001
n_incomplete_trips,0.989,1.069,1.069,1.035,0.0,1.069,1.022,1.035,0.707,1.035,1.069,1.069
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_locations,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.001,0.002,0.004,0.002
uid,0.989,1.035,0.926,1.069,1.035,0.926,1.007,1.035,1.035,1.069,1.035,1.035
tid,1.018,0.926,1.035,0.926,1.069,1.035,1.018,1.069,0.926,1.035,1.035,1.035
datetime,1.018,0.926,1.069,1.069,1.035,1.069,0.963,1.035,1.069,1.035,1.035,0.707
lat,0.963,1.069,1.035,1.035,0.707,1.069,1.018,1.035,1.035,1.069,1.069,1.069
lng,0.989,1.035,1.069,1.035,1.035,1.035,1.007,0.926,0.926,0.926,1.035,1.069
trips_over_time,0.002,0.002,0.002,0.001,0.001,0.001,0.003,0.001,0.001,0.0,0.001,0.003
trips_per_weekday,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.002,0.002,0.003,0.003
trips_per_hour,0.002,0.0,0.0,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.003,0.001
