stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.149,0.049,0.037,0.066,0.16,0.175,0.557,0.102,0.14,0.362,0.725,0.346
n_trips,0.141,0.056,0.037,0.061,0.137,0.172,0.55,0.103,0.125,0.347,0.725,0.367
n_complete_trips,0.172,0.046,0.03,0.076,0.21,0.165,0.65,0.11,0.142,0.398,0.726,0.612
n_incomplete_trips,0.989,0.926,1.069,1.035,0.707,1.035,1.007,1.035,1.035,0.926,0.707,1.035
n_users,0.156,0.098,0.186,0.13,0.138,0.152,0.326,0.046,0.083,0.078,0.288,0.407
n_locations,0.063,0.033,0.017,0.03,0.078,0.048,0.132,0.029,0.098,0.144,0.094,0.134
uid,1.018,0.707,1.035,1.035,0.707,1.035,1.007,1.035,1.035,1.069,1.035,1.069
tid,1.018,1.069,0.926,1.069,1.035,1.069,0.989,0.707,0.926,1.035,1.035,1.069
datetime,0.989,1.035,1.035,0.926,1.069,1.035,0.676,1.035,0.707,1.035,0.0,0.926
lat,1.007,1.069,0.926,1.035,1.035,1.035,0.963,0.926,1.035,1.035,1.035,1.035
lng,0.929,0.707,1.035,1.035,0.707,1.035,0.989,0.926,1.035,1.035,0.926,1.035
trips_over_time,0.174,0.092,0.108,0.139,0.076,0.067,0.3,0.114,0.135,0.131,0.112,0.125
trips_per_weekday,0.061,0.013,0.033,0.037,0.033,0.047,0.356,0.04,0.061,0.198,0.18,0.275
trips_per_hour,0.226,0.014,0.063,0.056,0.058,0.097,0.41,0.086,0.034,0.081,0.059,0.081
