stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.124,0.021,0.09,0.066,0.056,0.155,0.43,0.05,0.099,0.612,0.167,0.546
n_trips,0.132,0.028,0.104,0.08,0.068,0.158,0.384,0.044,0.094,0.573,0.173,0.508
n_complete_trips,0.118,0.021,0.082,0.062,0.061,0.139,0.603,0.056,0.104,0.647,0.182,0.815
n_incomplete_trips,1.007,1.035,0.926,1.069,1.035,1.035,1.018,1.035,1.035,1.069,1.035,0.926
n_users,0.212,0.106,0.065,0.098,0.283,0.11,0.253,0.065,0.193,0.094,0.09,0.29
n_locations,0.044,0.019,0.03,0.04,0.032,0.06,0.311,0.019,0.061,0.142,0.398,0.283
uid,1.018,0.707,1.035,0.926,1.069,1.069,0.963,1.035,1.035,0.926,1.035,1.035
tid,0.929,1.035,0.926,1.035,0.0,1.069,0.989,1.035,1.069,1.069,0.926,1.069
datetime,0.989,1.035,1.069,1.035,1.035,0.926,1.007,1.035,0.926,0.926,1.069,1.035
lat,0.963,1.035,1.035,1.069,0.707,0.926,1.018,0.926,1.035,0.926,1.035,1.035
lng,1.022,0.707,1.035,1.035,1.035,0.926,0.929,1.035,1.035,1.035,0.926,1.035
trips_over_time,0.084,0.027,0.062,0.036,0.062,0.042,0.144,0.039,0.074,0.058,0.089,0.089
trips_per_weekday,0.031,0.007,0.009,0.015,0.016,0.018,0.132,0.013,0.039,0.055,0.06,0.079
trips_per_hour,0.086,0.01,0.016,0.017,0.016,0.03,0.166,0.015,0.018,0.035,0.019,0.025
