stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
od_flows,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
od_flows_quartiles,1.211,1.036,1.154,1.275,1.343,1.382,1.33,1.088,1.364,1.541,1.607,1.64
travel_time,1.558,1.536,1.507,1.537,1.782,1.653,1.583,1.411,1.488,1.902,1.828,1.751
travel_time_quartiles,0.888,0.778,0.869,0.917,1.028,1.012,1.082,0.901,0.903,1.167,1.267,1.2
jump_length,1.255,1.063,1.204,1.529,1.415,1.48,1.385,1.034,1.62,1.746,1.758,1.691
jump_length_quartiles,1.116,1.078,1.095,1.119,1.33,1.253,1.208,1.09,1.323,1.379,1.438,1.284
trips_per_user_quartiles,0.175,0.1,0.163,0.224,0.2,0.233,0.231,0.114,0.25,0.148,0.233,0.267
user_time_delta,1.643,1.416,1.608,1.803,1.798,1.825,1.7,1.567,1.728,1.756,1.837,1.831
user_time_delta_quartiles,1.153,1.026,1.164,1.305,1.321,1.254,1.266,1.164,1.29,1.388,1.449,1.354
radius_of_gyration,1.451,1.289,1.529,1.547,1.543,1.681,1.44,1.14,1.503,1.559,1.686,1.821
radius_of_gyration_quartiles,1.008,0.758,1.134,1.096,1.093,1.204,1.147,1.009,1.113,1.262,1.396,1.374
user_tile_count,1.54,1.378,1.552,1.601,1.637,1.69,1.484,1.229,1.704,1.772,1.779,1.704
user_tile_count_quartiles,0.553,0.44,0.546,0.61,0.637,0.625,0.604,0.407,0.736,0.704,0.758,0.683
mobility_entropy,1.102,1.027,1.224,1.204,1.113,1.243,1.08,0.874,1.136,1.213,1.243,1.321
mobility_entropy_quartiles,0.301,0.174,0.231,0.284,0.347,0.393,0.295,0.243,0.305,0.466,0.452,0.411
