stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.001,0.003,0.003
n_trips,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.002,0.003,0.003
n_complete_trips,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.003,0.002
n_incomplete_trips,1.167,1.25,0.75,1.0,0.75,1.5,1.167,1.0,1.25,2.0,1.25,0.75
n_users,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001
n_locations,0.089,0.055,0.073,0.056,0.084,0.144,0.231,0.049,0.157,0.235,0.381,0.329
uid,0.75,0.75,0.75,0.75,0.25,1.0,1.0,1.25,1.25,0.75,1.0,1.5
tid,0.667,0.75,0.75,0.75,0.5,0.5,1.0,0.5,0.75,1.0,1.25,1.0
datetime,1.167,1.25,0.75,1.25,1.25,1.5,0.667,1.25,0.5,1.25,0.75,0.75
lat,0.07,0.032,0.042,0.087,0.109,0.078,0.149,0.035,0.07,0.247,0.178,0.242
lng,0.079,0.02,0.048,0.079,0.117,0.101,0.318,0.032,0.108,0.118,0.247,0.684
trips_over_time,0.006,0.002,0.003,0.005,0.006,0.009,0.013,0.002,0.009,0.011,0.019,0.019
trips_per_weekday,0.004,0.003,0.003,0.006,0.004,0.006,0.009,0.004,0.007,0.007,0.012,0.011
trips_per_hour,0.02,0.014,0.017,0.021,0.023,0.025,0.029,0.014,0.02,0.029,0.037,0.04
