stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.002,0.002
n_trips,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.002,0.002
n_complete_trips,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.002,0.002
n_incomplete_trips,1.007,1.035,1.035,1.069,1.035,0.926,1.007,1.069,1.035,0.0,1.035,1.035
n_users,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001
n_locations,0.086,0.041,0.04,0.045,0.088,0.096,0.324,0.046,0.152,0.243,0.363,0.39
uid,0.989,1.035,1.035,1.035,0.707,1.069,1.022,1.035,1.035,1.035,1.069,0.926
tid,0.963,1.035,1.035,1.035,0.926,0.926,1.022,0.926,1.035,1.069,1.035,1.069
datetime,1.007,1.035,1.035,1.035,1.035,0.926,0.963,1.035,0.926,1.035,1.035,1.035
lat,0.069,0.022,0.039,0.05,0.074,0.076,0.196,0.05,0.057,0.142,0.18,0.255
lng,0.087,0.015,0.029,0.047,0.12,0.062,0.548,0.027,0.108,0.123,0.189,0.832
trips_over_time,0.007,0.001,0.002,0.002,0.003,0.01,0.012,0.001,0.011,0.01,0.011,0.009
trips_per_weekday,0.003,0.002,0.002,0.003,0.004,0.004,0.007,0.002,0.004,0.004,0.007,0.007
trips_per_hour,0.006,0.001,0.002,0.001,0.002,0.002,0.014,0.003,0.003,0.003,0.005,0.005
