stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.001,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.001,0.002,0.003,0.005
n_trips,0.001,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.001,0.002,0.003,0.005
n_complete_trips,0.001,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.001,0.002,0.003,0.005
n_incomplete_trips,0.929,1.035,0.707,1.035,1.069,0.707,1.007,0.0,1.035,1.035,1.035,1.035
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001
n_locations,0.113,0.04,0.06,0.08,0.138,0.111,0.31,0.043,0.069,0.277,0.329,0.388
uid,1.007,0.926,1.035,1.035,1.069,0.926,0.929,0.926,1.069,1.035,1.035,0.707
tid,1.022,1.069,1.035,0.926,1.069,0.926,1.007,0.926,1.035,1.035,0.926,1.069
datetime,1.007,1.035,1.035,1.035,1.035,0.926,0.989,1.069,1.035,1.035,0.926,0.926
lat,0.054,0.025,0.015,0.041,0.053,0.052,0.161,0.051,0.118,0.665,0.055,0.159
lng,0.052,0.025,0.052,0.061,0.045,0.06,0.482,0.034,0.049,0.551,0.307,0.678
trips_over_time,0.014,0.003,0.004,0.008,0.01,0.014,0.046,0.009,0.016,0.015,0.037,0.038
trips_per_weekday,0.197,0.205,0.1,0.163,0.233,0.197,0.237,0.266,0.219,0.194,0.214,0.194
trips_per_hour,0.093,0.082,0.076,0.054,0.098,0.089,0.103,0.049,0.082,0.092,0.085,0.084
visits_per_tile,0.077,0.006,0.009,0.01,0.013,0.009,0.246,0.008,0.01,0.013,0.01,0.013
visits_per_tile_outliers,0.006,0.003,0.008,0.01,0.006,0.005,0.041,0.007,0.007,0.041,0.042,0.051
visits_per_tile_quartiles,0.004,0.002,0.002,0.003,0.003,0.002,0.037,0.003,0.003,0.007,0.014,0.014
visits_per_time_tile,0.161,0.007,0.005,0.008,0.005,0.01,0.319,0.008,0.005,0.01,0.006,0.009
od_flows,0.002,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
od_flows_quartiles,0.181,0.002,0.005,0.006,0.005,0.01,0.373,0.005,0.012,0.009,0.01,0.008
travel_time,0.094,0.022,0.045,0.056,0.05,0.078,0.187,0.051,0.053,0.094,0.095,0.066
travel_time_quartiles,0.214,0.213,0.099,0.169,0.149,0.172,0.194,0.185,0.13,0.172,0.066,0.067
jump_length,0.007,0.001,0.003,0.002,0.005,0.005,0.023,0.003,0.004,0.008,0.01,0.015
jump_length_quartiles,0.028,0.027,0.027,0.034,0.02,0.033,0.054,0.018,0.036,0.026,0.026,0.048
trips_per_user_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_time_delta,0.039,0.056,0.054,0.05,0.021,0.026,0.099,0.003,0.03,0.039,0.059,0.064
user_time_delta_quartiles,0.02,0.02,0.112,0.017,0.019,0.015,0.038,0.011,0.016,0.013,0.02,0.019
radius_of_gyration,0.007,0.002,0.002,0.004,0.002,0.005,0.014,0.001,0.003,0.003,0.013,0.01
radius_of_gyration_quartiles,0.028,0.019,0.019,0.018,0.032,0.014,0.035,0.024,0.036,0.015,0.025,0.031
user_tile_count,0.126,0.098,0.072,0.08,0.115,0.077,0.158,0.092,0.157,0.156,0.099,0.115
user_tile_count_quartiles,0.02,0.016,0.022,0.028,0.012,0.012,0.025,0.016,0.024,0.025,0.024,0.018
mobility_entropy,0.21,0.149,0.226,0.21,0.16,0.217,0.209,0.196,0.198,0.181,0.171,0.198
mobility_entropy_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001
