stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
n_records,0.05742,0.03345,0.02078,0.05819,0.08979,0.04813,0.04752,0.17724,0.05819,0.00118,0.01168,0.01063,0.03589,0.03747,0.02018,0.05541,0.00703,0.07624,0.01516,0.07624,0.01123,0.06491,0.27994,0.02438,0.02781,0.07688,0.19942,0.14358,0.03103,0.17647,0.16815,0.10415,0.10059,0.16149,0.06053,0.16989,0.02323,0.12555,0.0318,0.06553,0.00235,0.32191,0.05152,0.26631,0.39718,0.4492,0.23627,0.2336,0.03406,0.01284,0.01719,0.04322,0.09348,0.0,0.00885,0.03521,0.04199,0.18135,0.08642,0.0506,0.093,0.01516,0.08117,0.05263,0.23627,0.31801,0.31407,0.08009,0.16953,0.31943,0.3871,0.29148,0.53906,0.32067,0.02018,0.63672,0.06053,0.06591,1.89474,0.37207,0.14597,0.41247,0.49314,0.21312,0.03832,0.22106,0.00586,0.21172,0.88026,0.10151,0.70481,0.18162,0.21218,1.34053,1.58127,0.66876
n_trips,0.04199,0.03345,0.01778,0.05819,0.08979,0.04813,0.03224,0.21967,0.05819,0.00118,0.01168,0.03237,0.03589,0.0615,0.02018,0.08225,0.00703,0.00819,0.01516,0.05929,0.05486,0.00469,0.31652,0.07792,0.02781,0.07688,0.26592,0.14358,0.02138,0.15035,0.16815,0.12141,0.06178,0.17871,0.06053,0.16989,0.02323,0.16397,0.03578,0.02895,0.04817,0.32892,0.05152,0.24538,0.34274,0.53339,0.23627,0.2336,0.01898,0.01284,0.0142,0.04322,0.09348,0.0,0.00586,0.03917,0.04199,0.1723,0.06428,0.0506,0.093,0.03691,0.08117,0.05263,0.24174,0.2938,0.31407,0.08009,0.16953,0.32809,0.36882,0.28763,0.53906,0.41968,0.0448,0.63672,0.06053,0.06591,1.79487,0.39962,0.14597,0.41247,0.49314,0.21312,0.03832,0.25882,0.02208,0.37673,0.92855,0.10151,0.56518,0.36267,0.32315,1.34053,1.2419,0.00235
n_complete_trips,0.07308,0.03345,0.02378,0.05819,0.08979,0.04813,0.06303,0.13275,0.05819,0.00118,0.01168,0.05556,0.03589,0.01284,0.02018,0.02781,0.00703,0.16815,0.01516,0.09348,0.08196,0.13953,0.24174,0.03224,0.02781,0.07688,0.12761,0.14358,0.04077,0.20324,0.16815,0.08657,0.14088,0.14395,0.06053,0.16989,0.02323,0.08549,0.02781,0.16953,0.05556,0.31485,0.05152,0.28763,0.45422,0.35476,0.23627,0.2336,0.04937,0.01284,0.02018,0.04322,0.09348,0.0,0.02378,0.03123,0.04199,0.19048,0.10905,0.0506,0.093,0.00708,0.08117,0.05263,0.23077,0.34274,0.31407,0.08009,0.16953,0.31067,0.40565,0.29535,0.53906,0.20842,0.08963,0.63672,0.06053,0.06591,2.0,0.34355,0.14597,0.41247,0.49314,0.21312,0.03832,0.18162,0.01063,0.00936,0.82742,0.10151,0.8605,0.04444,0.08549,1.34053,2.0,2.0
n_incomplete_trips,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
n_users,0.02174,0.09798,0.02786,0.02222,0.01635,0.0,0.08,0.0,0.275,0.01105,0.23301,0.17964,0.05348,0.0507,0.01662,0.0271,0.0271,0.13811,0.0,0.18905,0.08421,0.14758,0.07916,0.14286,0.08421,0.11014,0.31111,0.19355,0.27896,0.07407,0.0565,0.09798,0.17964,0.10909,0.42424,0.13333,0.1994,0.18619,0.92369,0.55439,0.19802,0.07407,0.10909,0.03922,0.06383,0.3341,0.26253,0.05348,0.01105,0.03352,0.04494,0.02786,0.0,0.17313,0.01662,0.01635,0.1349,0.00551,0.00548,0.12865,0.00548,0.15228,0.07407,0.01635,0.01662,0.28213,0.04301,0.09922,0.02786,0.01662,0.55439,0.01635,0.06818,0.11399,0.02786,0.13811,0.11399,0.3038,0.25387,0.08596,0.13811,0.24155,0.25387,0.01635,0.06383,0.12371,0.04301,0.06232,0.47619,,0.20247,1.02075,0.27078,0.34921,0.35294,0.72281
n_locations,0.00712,0.02817,0.02776,0.00297,0.02004,0.00475,0.02585,0.02004,0.01198,0.06262,0.02585,0.03221,0.03575,0.01183,0.01017,0.05048,0.02295,0.0299,0.07725,0.10131,0.02759,0.04878,0.06284,0.0156,0.04367,0.10658,0.0162,0.0162,0.09578,0.01923,0.09847,0.03681,0.06897,0.09686,0.00837,0.06579,0.0745,0.06786,0.04069,0.00837,0.14834,0.00771,0.04442,0.08329,0.02237,0.15587,0.00416,0.09803,0.00178,0.01477,0.01499,0.0136,0.06396,0.01477,0.0083,0.01183,0.01887,0.03636,0.00597,0.00948,0.03106,0.02227,0.02288,0.06579,0.1584,0.02062,0.06396,0.07921,0.06833,0.08438,0.21198,0.07407,0.03451,0.04935,0.13063,0.04255,0.35542,0.36536,0.20111,0.02701,0.31724,1.30059,0.33499,0.44084,0.12343,0.15131,0.10592,0.13672,0.84505,0.34473,0.0156,0.05128,0.4696,0.21324,0.44875,0.05612
uid,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
tid,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
datetime,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
lat,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
