stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.135,0.029,0.069,0.116,0.092,0.245,0.319,0.075,0.264,0.489,0.218,0.709
n_trips,0.137,0.038,0.068,0.122,0.09,0.252,0.294,0.074,0.26,0.495,0.245,0.608
n_complete_trips,0.139,0.028,0.097,0.109,0.103,0.249,0.377,0.078,0.269,0.493,0.188,0.907
n_incomplete_trips,1.167,0.75,1.5,1.0,1.25,1.25,1.083,0.75,1.25,1.0,0.75,1.5
n_users,0.171,0.106,0.101,0.151,0.339,0.142,0.203,0.065,0.132,0.138,0.118,0.485
n_locations,0.047,0.03,0.048,0.054,0.054,0.071,0.229,0.027,0.095,0.151,0.364,0.306
uid,0.917,1.75,1.25,1.5,1.0,1.0,0.667,1.25,1.25,1.5,0.75,0.75
tid,1.417,0.75,1.5,0.75,2.0,1.0,0.75,0.75,1.0,1.0,0.5,1.0
datetime,1.25,0.75,1.0,1.25,1.25,1.5,1.167,1.25,0.5,0.5,1.0,1.25
lat,1.333,1.25,1.25,1.0,1.75,1.5,1.083,1.5,1.25,0.5,0.75,1.25
lng,1.0,0.25,0.75,0.75,1.25,0.5,0.583,0.75,0.75,1.25,0.5,0.75
trips_over_time,0.514,0.458,0.512,0.521,0.557,0.572,0.538,0.462,0.546,0.614,0.627,0.62
trips_per_weekday,0.06,0.032,0.043,0.049,0.084,0.073,0.175,0.039,0.09,0.156,0.214,0.295
trips_per_hour,0.318,0.244,0.301,0.355,0.372,0.379,0.386,0.256,0.348,0.457,0.483,0.516
