stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
n_records,0.12297,0.07412,0.03224,0.04368,0.08323,0.02438,0.04255,0.01978,0.09994,0.01659,0.01659,0.10573,0.10098,0.12761,0.04199,0.13953,0.04077,0.00586,0.10994,0.10362,0.03954,0.02559,0.04199,0.06701,0.12348,0.03464,0.19897,0.14799,0.16058,0.05819,0.12883,0.23077,0.26371,0.20039,0.50294,0.17284,0.04752,0.17023,0.34516,0.00353,0.14344,0.50478,0.01863,0.34557,0.22153,0.14358,0.04322,0.00118,0.02619,0.02151,0.01516,0.12452,0.07248,0.02895,0.00117,0.02018,0.16264,0.01242,0.34113,0.08642,0.05874,0.17186,0.11621,0.20559,0.03974,0.08706,0.24264,0.12087,0.05929,0.03009,0.43061,0.03832,0.18453,0.53149,0.17627,0.48739,0.44708,0.64652,1.23267,0.10679,0.73245,1.95354,1.82043,0.70521,0.28456,0.29116,0.14763,0.20609,1.35204,0.66823,0.77378,0.63949,0.67295,0.24446,0.9523,0.33631
n_trips,0.13275,0.09513,0.03224,0.05708,0.08323,0.02438,0.04255,0.01978,0.09994,0.01659,0.01659,0.10573,0.11621,0.12761,0.00353,0.13953,0.04077,0.08979,0.10994,0.12864,0.03954,0.02378,0.05152,0.06701,0.12348,0.03464,0.16539,0.14799,0.11035,0.05819,0.12484,0.23077,0.26857,0.18626,0.41761,0.23992,0.01168,0.12352,0.17508,0.00353,0.22801,0.50478,0.1183,0.39358,0.28686,0.14358,0.04322,0.00819,0.02619,0.04817,0.01516,0.12864,0.07466,0.03464,0.00117,0.02018,0.16264,0.00353,0.34113,0.06679,0.11413,0.17186,0.1748,0.23261,0.07575,0.08706,0.24264,0.12087,0.13786,0.13989,0.43061,0.03832,0.18453,0.54592,0.25257,0.33791,0.56311,0.65826,1.23267,0.20653,0.78515,1.95354,1.82043,0.70521,0.28456,0.29116,0.14763,0.20609,1.29207,0.66823,0.92176,0.63949,0.2633,0.27646,0.33952,0.33631
n_complete_trips,0.11308,0.05263,0.03224,0.03009,0.08323,0.02438,0.04255,0.01978,0.09994,0.01659,0.01659,0.10573,0.08549,0.12761,0.08196,0.13953,0.04077,0.08578,0.10994,0.07792,0.03954,0.0274,0.03237,0.06701,0.12348,0.03464,0.2336,0.14799,0.21326,0.05819,0.13283,0.23077,0.25882,0.2147,0.59451,0.10045,0.11035,0.21904,0.5441,0.00353,0.0504,0.50478,0.09219,0.29459,0.151,0.14358,0.04322,0.01063,0.02619,0.00589,0.01516,0.12038,0.07029,0.02323,0.00117,0.02018,0.16264,0.02138,0.34113,0.10644,0.0,0.17186,0.05374,0.17773,0.00235,0.08706,0.24264,0.12087,0.02619,0.09348,0.43061,0.03832,0.18453,0.51678,0.093,0.6573,0.31067,0.63458,1.23267,0.00471,0.67497,1.95354,1.82043,0.70521,0.28456,0.29116,0.14763,0.20609,1.41424,0.66823,0.57871,0.63949,1.26366,0.21125,2.0,0.33631
n_incomplete_trips,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0
n_users,0.01635,0.09798,0.02786,0.06232,0.03922,0.05348,0.03774,0.04826,0.09798,0.07916,0.33028,0.04826,0.08,0.11014,0.23313,0.06818,0.03922,0.56338,0.02174,0.07407,0.25,0.18619,0.05348,0.0271,0.01105,0.22871,0.04826,0.03774,0.01105,0.16625,0.37862,0.06897,0.49315,0.08596,0.06232,0.2069,0.11628,0.12245,0.22871,0.24691,0.50172,0.31111,0.30303,0.04826,0.37134,0.19355,0.48333,0.2113,0.0,0.06818,0.00548,0.00548,0.00548,0.00548,0.02786,0.01662,0.01635,0.01105,0.02786,0.0,0.03352,0.14118,0.02222,0.0,0.01635,0.16024,0.02222,0.06232,0.25387,0.12865,0.04301,0.0507,0.17313,0.29653,0.03352,0.12865,0.16667,0.22439,0.11014,0.16625,0.01105,0.00551,0.02174,0.18,0.26791,0.48017,0.08421,0.82391,1.27928,0.26087,0.77863,0.39474,0.38222,0.16162,0.06818,0.14749
n_locations,0.00298,0.03451,0.0177,0.00534,0.02353,0.00119,0.06198,0.00357,0.03451,0.1097,0.01945,0.0136,0.02237,0.02837,0.01378,0.00534,0.0563,0.03509,0.00593,0.02295,0.04566,0.01125,0.02776,0.02178,0.02654,0.09215,0.09955,0.06172,0.0889,0.02759,0.04821,0.0915,0.12395,0.05048,0.28221,0.07339,0.1172,0.05442,0.06172,0.05316,0.07471,0.05161,0.02532,0.05724,0.11448,0.01301,0.15316,0.02654,0.01183,0.01137,0.01318,0.00777,0.00238,0.01007,0.04481,0.00477,0.03945,0.02585,0.00416,0.0563,0.10223,0.03513,0.03021,0.03205,0.32606,0.07471,0.07395,0.08696,0.03163,0.0241,0.11448,0.03394,0.03796,0.20848,0.33252,0.01242,0.03883,0.38033,0.04566,0.11765,0.04024,0.19063,,0.00119,0.2559,0.11554,,0.13945,0.16147,0.25318,0.38965,0.05161,0.3301,0.37524,0.05316,0.25882
uid,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0
tid,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0
datetime,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
lat,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
