stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.149,0.081,0.054,0.135,0.213,0.178,0.504,0.144,0.131,0.477,0.768,0.705
n_trips,0.152,0.078,0.069,0.124,0.178,0.216,0.47,0.158,0.159,0.498,0.774,0.592
n_complete_trips,0.156,0.084,0.06,0.147,0.256,0.161,0.562,0.129,0.13,0.454,0.76,0.889
n_incomplete_trips,1.25,0.5,1.0,0.75,1.75,1.25,0.833,1.25,0.75,1.5,0.25,1.25
n_users,0.182,0.131,0.152,0.119,0.195,0.303,0.228,0.032,0.092,0.162,0.234,0.434
n_locations,0.062,0.031,0.028,0.067,0.102,0.065,0.124,0.041,0.096,0.147,0.124,0.234
uid,0.917,1.75,1.25,1.25,0.25,1.25,1.167,0.75,0.75,1.0,1.25,1.0
tid,1.083,1.0,1.5,1.0,0.75,1.0,1.25,0.25,1.5,0.75,0.75,1.0
datetime,1.25,0.75,1.25,0.5,1.0,1.25,1.75,0.75,0.25,1.25,2.0,1.5
lat,1.167,1.0,1.5,0.75,1.25,0.75,0.667,0.5,0.75,0.75,0.75,0.75
lng,1.417,0.25,1.25,1.25,1.75,1.25,1.25,1.5,0.75,0.75,1.5,1.25
trips_over_time,1.454,1.402,1.414,1.525,1.617,1.489,1.479,1.352,1.49,1.736,1.673,1.673
trips_per_weekday,0.122,0.074,0.112,0.135,0.159,0.156,0.444,0.083,0.207,0.418,0.554,0.745
trips_per_hour,0.947,0.754,0.875,1.02,1.07,1.119,1.014,0.726,1.001,1.148,1.236,1.349
