stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
od_flows,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
od_flows_quartiles,0.92743,0.89849,0.90567,0.89652,0.90636,0.89874,0.91617,0.92037,1.04432,1.01827,1.03096,1.05649,1.05205,1.0194,1.053,1.016,1.14143,1.15071,1.16314,1.14907,1.15196,1.1518,1.16033,1.16667,1.26705,1.27772,1.2799,1.27199,1.27414,1.26985,1.28548,1.27479,1.33703,1.33982,1.34119,1.33578,1.33608,1.34601,1.34723,1.35794,1.38266,1.38116,1.38171,1.3947,1.37655,1.38476,1.37659,1.37699,0.74497,0.74755,0.74025,0.73637,0.73651,0.76457,0.74041,0.73701,1.10876,1.07413,1.0672,1.07691,1.08273,1.09332,1.09362,1.10463,1.36274,1.36523,1.36326,1.37117,1.36095,1.36017,1.36734,1.35864,1.53982,1.54075,1.53231,1.54178,1.53804,1.54521,1.5391,1.54714,1.60812,1.60742,1.60267,1.61022,1.61087,1.61131,1.60498,1.60093,1.63938,1.63848,1.63724,1.63809,1.63977,1.64206,1.64269,1.64048
travel_time,1.39593,1.03767,1.37391,1.51519,0.94892,1.29512,1.20754,1.14031,1.95188,1.51399,1.60304,1.16821,1.4855,1.28609,1.59673,1.68124,1.43087,1.42981,1.30597,1.44618,1.51403,1.73993,1.49237,1.69548,1.75435,1.96806,1.62801,1.41492,1.16322,1.55094,1.39501,1.42258,1.74856,1.71986,2.0,2.0,1.82914,1.62751,1.71564,1.61748,1.51829,2.0,1.57838,1.75765,1.89808,1.41699,1.49683,1.55739,1.089,1.28968,1.25631,1.44382,1.02856,1.0082,1.07415,1.16901,1.58963,1.47336,1.60185,1.14067,1.09766,1.49922,1.29395,1.58928,1.21557,1.54935,1.51231,1.42498,1.50423,1.92192,1.43356,1.34389,1.84831,1.79813,2.0,1.7517,1.95188,1.95469,1.90863,2.0,1.85536,1.99265,2.0,1.66166,1.69465,1.8718,1.99247,1.55925,1.61768,1.98971,2.0,1.69253,1.61362,1.49389,1.84502,1.7545
travel_time_quartiles,0.71373,0.65352,0.55599,0.71439,0.20917,0.73753,0.6301,0.77844,1.10725,0.99637,0.8399,0.68117,0.51074,0.62814,0.81078,0.64892,0.85829,1.31119,0.71062,0.72775,0.57961,1.04144,0.85051,0.8694,0.77107,1.47684,0.74339,0.92713,0.81329,1.16224,0.62067,0.82304,0.8642,0.97399,1.38586,1.2934,0.68967,1.20291,0.94264,0.87066,0.62782,1.21386,1.04722,0.938,1.2543,0.8675,1.05493,1.09587,0.73609,0.85093,0.67174,1.07409,0.72404,0.65674,0.68619,0.82703,1.06833,0.97668,1.14185,0.68949,0.78175,0.76024,0.82905,0.96291,1.32232,1.05146,0.78941,0.77319,1.07757,1.06406,0.74648,0.40132,1.1498,0.90482,1.37456,1.09788,1.29654,1.30355,0.92127,1.28799,1.20243,1.32831,1.26835,1.2855,1.20015,1.31985,1.36332,1.16538,0.90423,1.24894,1.24657,0.9975,1.05878,1.26898,1.36412,1.51074
jump_length,1.08878,0.8571,1.03109,0.70437,0.859,0.76835,0.75921,0.90395,0.86528,1.0886,0.81411,0.95391,1.08305,1.19059,0.9857,1.52293,1.18369,1.16805,1.30711,0.71904,1.68575,1.36345,1.36012,0.8459,1.30202,1.92356,1.90222,1.52595,1.22614,1.5789,1.66243,1.10898,1.67204,1.19653,1.12012,1.09032,1.9371,1.36026,1.37337,1.56658,1.22515,1.90222,1.43861,1.79799,1.90222,0.89152,1.40843,1.27736,0.60966,1.13749,0.95895,0.63132,0.37566,0.55725,0.84677,0.53137,1.63046,0.79204,0.76633,0.90141,1.14388,0.97236,0.82059,1.24273,1.09549,1.90222,1.71685,1.49493,1.99329,2.0,1.57611,1.17947,1.87587,1.76117,1.8853,1.7777,1.26832,1.90222,1.9371,1.56318,1.90222,1.47725,1.96981,1.55774,1.65597,1.87154,1.63117,2.0,1.90222,1.76708,1.51988,1.55745,1.81298,1.93695,1.60993,1.42334
jump_length_quartiles,0.92796,0.57366,0.96346,0.69724,0.86316,0.69244,0.80239,0.6049,1.17096,1.29553,0.91568,0.81663,0.71054,1.32752,1.06198,1.3239,0.99143,1.17284,1.01089,0.90482,1.16611,1.23831,1.03222,1.24183,1.14442,0.81627,1.1747,1.11055,0.91848,1.38731,1.07379,1.32987,1.30972,1.19023,1.48724,1.46102,1.44997,1.32,1.05941,1.36113,1.23361,1.33993,1.25213,1.4256,1.63147,1.09286,1.12886,0.92177,0.89703,0.83844,1.00375,0.8686,0.95673,0.83982,0.95834,0.84834,1.17326,1.0221,0.91646,1.01191,1.12499,1.11509,1.13807,1.21454,1.24321,1.39854,1.0769,1.25629,1.47223,1.57933,1.2096,1.35024,1.32126,1.31307,1.27345,1.40533,1.43679,1.36823,1.62454,1.28875,1.74655,1.62006,1.40231,1.08751,1.36954,1.78566,1.29585,1.19656,1.73568,1.15688,1.27371,1.16703,1.55476,1.04364,1.17027,1.17309
trips_per_user_quartiles,0.0,0.0,0.0,0.26667,0.2,0.0,0.26667,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.26667,0.13333,0.26667,0.26667,0.2,0.0,0.24,0.2,0.0,0.13333,0.26667,0.24444,0.2,0.26667,0.30476,0.24,0.0,0.26667,0.26667,0.0,0.26667,0.26667,0.0,0.26667,0.26667,0.26667,0.26667,0.0,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.13333,0.2,0.2,0.26667,0.2,0.0,0.13333,0.2,0.0,0.26667,0.0,0.04444,0.0,0.26667,0.26667,0.2,0.26667,0.26667,0.2,0.26667,0.26667,0.26667,0.1,0.28444,0.26667,0.0,0.26667,0.26667,0.0,0.0,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.0,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667,0.26667
user_time_delta,1.35168,1.39242,1.3252,1.28816,1.07278,1.36846,1.36277,1.29398,1.39712,1.40209,1.43339,1.35241,1.55386,1.19487,1.3133,1.68285,1.7769,1.29335,1.3971,1.82076,1.30678,1.87528,1.51478,1.87528,1.77694,1.69638,1.70587,2.0,1.87528,2.0,1.99107,1.38033,1.82776,1.72796,1.7378,1.49815,1.99107,1.89863,1.82701,1.87528,1.87528,1.60316,1.49339,2.0,2.0,1.87528,1.87528,1.87528,1.0548,1.14286,1.81976,1.51525,1.62021,1.13515,1.87528,1.29294,1.76082,1.43355,1.26,1.4887,1.61406,1.55164,1.766,1.66164,1.8579,1.58455,1.53717,1.87528,1.87528,1.7621,1.9075,1.42297,1.87528,1.95559,1.87528,1.58432,1.87528,1.57461,1.9516,1.35928,2.0,1.61438,1.99592,1.45696,1.87528,2.0,1.87528,1.87528,1.81426,1.6321,1.94652,1.87528,2.0,1.74074,1.76078,1.87528
user_time_delta_quartiles,0.89609,0.96171,0.91055,0.67041,0.7443,0.95608,0.91424,1.02332,0.93237,0.86598,1.01015,1.2883,1.22826,1.10558,0.85356,0.92724,1.14962,1.17561,1.22643,1.06461,0.80012,1.3353,1.07086,1.49048,1.25598,1.52387,0.85665,1.58107,1.29644,1.21836,1.38095,1.32756,1.18989,1.33163,1.25008,1.50989,1.36775,1.38063,1.16117,1.3758,1.11616,1.27368,1.16528,1.07781,1.38877,1.20196,1.44316,1.36824,1.22972,1.05132,0.916,0.97066,0.95884,1.04516,0.64007,1.1642,1.07783,1.18217,0.98147,1.16182,1.04707,1.14827,1.48815,1.22147,1.15538,1.4447,1.3221,1.44412,1.1264,1.26679,1.17357,1.3898,1.35652,1.36948,1.30702,1.42184,1.34228,1.32702,1.43404,1.54892,1.1645,1.18373,1.36763,1.7469,1.47722,1.55451,1.40462,1.6902,1.15147,1.3815,1.46837,1.36677,0.98947,1.49702,1.7167,1.25824
radius_of_gyration,1.53508,0.97938,1.42791,0.95746,0.76994,1.45259,0.95448,0.94598,1.50241,1.50403,1.52306,1.26234,1.27537,0.95424,1.28728,1.00413,1.5757,1.35599,1.27209,1.75773,1.31105,1.40731,1.87443,1.67448,1.61096,1.42233,1.46224,1.82079,1.56208,1.57973,1.64856,1.26639,1.68894,1.42566,1.58007,1.34305,1.17159,1.87443,1.57328,1.69047,1.59674,1.51923,1.7196,1.87443,1.73054,1.81593,1.31523,1.87443,0.73409,1.0519,0.73417,0.88656,0.98409,0.59338,0.80415,0.70077,1.04368,1.06386,1.53478,0.72312,1.1849,1.129,1.05309,1.38765,1.64936,1.5452,1.70647,1.31476,1.36727,1.20072,1.79087,1.44686,1.59639,1.71294,1.34579,1.47628,1.53558,1.87443,1.1351,1.79279,1.79636,1.87443,1.73304,1.53682,1.18345,1.87443,1.79009,1.70109,1.97403,1.98653,1.98106,1.80131,1.50076,2.0,1.86308,1.46418
