stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
od_flows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
od_flows_quartiles,0.219,0.017,0.008,0.006,0.008,0.006,0.424,0.015,0.004,0.005,0.004,0.002
travel_time,0.295,0.24,0.144,0.248,0.15,0.209,0.341,0.206,0.205,0.093,0.171,0.183
travel_time_quartiles,0.276,0.2,0.225,0.276,0.241,0.201,0.261,0.16,0.283,0.18,0.071,0.2
jump_length,0.386,0.223,0.307,0.301,0.294,0.362,0.533,0.295,0.35,0.227,0.201,0.189
jump_length_quartiles,0.304,0.242,0.126,0.191,0.147,0.218,0.302,0.098,0.16,0.114,0.255,0.236
trips_per_user_quartiles,0.127,0.113,0.11,0.095,0.123,0.094,0.079,0.118,0.031,0.136,0.094,0.0
user_time_delta,0.281,0.149,0.256,0.213,0.148,0.181,0.292,0.172,0.187,0.221,0.199,0.119
user_time_delta_quartiles,0.229,0.165,0.204,0.221,0.115,0.135,0.28,0.153,0.13,0.078,0.213,0.223
radius_of_gyration,0.332,0.221,0.225,0.166,0.223,0.194,0.497,0.244,0.206,0.243,0.23,0.221
radius_of_gyration_quartiles,0.365,0.173,0.258,0.175,0.263,0.396,0.383,0.182,0.114,0.213,0.157,0.185
user_tile_count,0.299,0.249,0.204,0.204,0.334,0.127,0.425,0.259,0.216,0.145,0.19,0.298
user_tile_count_quartiles,0.188,0.252,0.185,0.155,0.156,0.119,0.235,0.189,0.054,0.058,0.074,0.127
mobility_entropy,0.248,0.218,0.182,0.165,0.248,0.227,0.361,0.192,0.294,0.135,0.126,0.182
mobility_entropy_quartiles,0.229,0.203,0.2,0.202,0.164,0.261,0.218,0.2,0.23,0.039,0.022,0.16
