stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
n_records,0.00023,0.00029,0.00042,8e-05,6e-05,0.00034,0.00015,0.00036,6e-05,0.00069,0.00015,0.00011,0.0001,0.00015,0.00024,1e-05,0.00021,0.00064,0.00036,0.00017,0.00024,0.0004,0.00108,0.00035,0.00092,9e-05,0.00013,0.00061,0.00022,0.00047,0.00079,0.00046,0.00043,9e-05,0.00187,0.00041,0.00152,0.00017,0.00014,0.00032,0.0007,0.00067,0.00018,0.00062,0.00077,0.00033,0.0004,0.00092,0.00036,1e-05,0.00022,5e-05,0.00051,0.0,0.00013,0.00057,0.0,0.00126,3e-05,0.00044,0.00055,0.00029,0.00019,0.00011,0.00013,0.00074,0.00019,4e-05,0.0006,0.00063,0.00106,0.00114,0.00035,0.00028,0.0006,0.0016,0.00563,0.0005,0.00185,0.001,0.00433,0.00226,0.00042,0.00533,0.00326,0.00064,0.00609,0.00059,0.00473,0.00251,0.0009,0.00136,0.00537,0.00027,0.00311,0.00395
n_trips,0.00023,0.00031,0.00042,8e-05,2e-05,0.00049,0.00018,0.00045,0.00023,0.00069,0.00015,6e-05,0.0002,0.00011,0.00016,1e-05,0.00021,0.00064,0.00036,0.00017,0.00032,0.0004,0.00123,0.00056,0.00092,5e-05,0.0002,0.00061,0.00034,0.00047,0.00072,0.00046,0.00043,9e-05,0.00173,0.00041,0.00152,0.0002,0.00014,0.00042,0.00111,0.0004,0.00031,0.00055,0.00118,0.00033,0.00057,0.00092,0.00031,3e-05,0.00025,5e-05,0.00051,3e-05,0.0001,0.00059,4e-05,0.00126,0.00023,0.00044,0.00057,0.00029,0.00017,0.00011,0.00013,0.00074,0.00019,2e-05,0.0007,0.00063,0.00123,0.00115,0.00044,0.0007,0.00053,0.00178,0.00581,0.00069,0.0018,0.00216,0.00437,0.00189,0.00042,0.00578,0.00401,0.00176,0.00609,0.00059,0.00473,0.00251,0.0009,0.0017,0.00772,0.00027,0.0047,0.00395
n_complete_trips,0.00023,0.00027,0.00042,8e-05,9e-05,0.00019,0.00012,0.00027,0.00011,0.00069,0.00015,0.00015,0.0,0.00019,0.00031,1e-05,0.00021,0.00064,0.00036,0.00017,0.00016,0.0004,0.00093,0.00013,0.00092,0.00014,6e-05,0.00061,0.0001,0.00047,0.00085,0.00046,0.00043,9e-05,0.002,0.00041,0.00152,0.00015,0.00014,0.00023,0.0003,0.00093,4e-05,0.00068,0.00036,0.00033,0.00023,0.00092,0.00041,1e-05,0.00019,5e-05,0.00051,3e-05,0.00015,0.00056,4e-05,0.00126,0.00017,0.00044,0.00053,0.00029,0.00021,0.00011,0.00013,0.00074,0.00018,5e-05,0.0005,0.00063,0.00089,0.00112,0.00025,0.00014,0.00066,0.00141,0.00546,0.00031,0.00189,0.00016,0.0043,0.00262,0.00042,0.00489,0.00251,0.00049,0.00609,0.00059,0.00473,0.00251,0.0009,0.00101,0.00301,0.00027,0.00152,0.00395
n_incomplete_trips,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
n_users,8e-05,5e-05,0.00015,0.00036,0.00031,8e-05,0.00036,0.00012,7e-05,1e-05,0.0004,5e-05,0.00055,0.00025,5e-05,9e-05,9e-05,0.00051,0.00039,0.00021,0.0,0.0004,0.00027,0.00027,0.00013,0.00072,0.00041,0.00027,0.00024,0.00082,0.00108,0.00028,0.00012,0.00052,0.00114,0.00041,0.00017,0.00017,0.00031,0.00031,0.001,0.00078,5e-05,0.00078,0.00016,0.00137,0.00169,0.00048,0.0002,3e-05,1e-05,3e-05,0.00013,3e-05,1e-05,0.0,3e-05,8e-05,4e-05,5e-05,4e-05,0.00013,0.0,0.00019,0.00012,0.00011,0.00011,9e-05,4e-05,0.0,4e-05,0.00033,8e-05,0.00157,0.00049,0.00024,0.00044,0.00012,0.00031,0.00069,0.00063,0.00051,0.00101,0.00015,0.00013,0.00213,0.00058,0.00072,0.00053,0.00117,0.0011,0.00033,0.00155,0.00049,0.00088,0.00352
n_locations,0.00162,0.00966,0.07327,0.04662,0.01286,0.0643,0.02789,0.0747,0.15425,0.05047,0.02872,0.04662,0.0443,0.04805,0.0412,0.02477,0.14119,0.02789,0.06603,0.05401,0.04198,0.11944,0.08964,0.04276,0.0396,0.03185,0.01366,0.14583,0.09758,0.03576,0.0224,0.06258,0.00568,0.14583,0.03122,0.02556,0.09936,0.26789,0.07176,0.02556,0.14397,0.27624,0.0523,0.07906,0.14677,0.25053,0.20419,0.00242,0.02398,0.00894,0.05828,0.02209,0.01446,0.00081,0.05828,0.02713,0.07209,0.03185,0.01631,0.13434,0.00487,0.02398,0.09226,0.01385,0.03576,0.01139,0.32659,0.06497,0.18086,0.01714,0.41288,0.20419,0.61745,0.5289,0.08521,0.0224,0.23812,0.36129,0.02398,0.00323,0.21704,,0.23812,0.07477,1.07846,0.66703,0.26997,0.12098,,0.01221,0.0627,0.72872,0.04662,,0.90909,0.21323
uid,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
tid,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
datetime,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
lat,0.01004,0.05335,0.0005,0.01353,0.03324,0.00151,0.04805,0.0297,0.02047,0.00904,0.0297,0.00151,0.037,0.06943,0.03752,0.04911,0.00963,0.07051,0.11373,0.04752,0.03714,0.00202,0.05442,0.00202,0.06351,0.12433,0.00101,0.04646,0.13233,0.06997,0.11301,0.14735,0.15542,0.25643,0.06566,0.05781,0.11526,0.12665,0.01651,0.07757,0.01004,0.04873,0.00303,0.11686,0.00963,0.06776,0.17747,0.19078,0.00101,0.02196,0.08632,0.00253,0.00354,0.00557,0.00354,0.0988,0.05829,0.03334,0.00151,0.00403,0.00303,0.02442,0.00453,0.14793,0.08039,0.04392,0.03908,0.01204,0.09971,0.09514,0.00804,0.18102,0.33245,0.24399,0.47441,0.18747,0.08317,0.3774,0.06458,0.21119,0.23312,0.01403,0.03178,0.04825,0.36334,0.51443,0.08084,0.13635,0.07666,0.00202,0.34487,0.13463,0.80439,0.16013,0.31247,0.10292
