stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
n_records,4e-05,0.00024,0.00028,0.0001,0.00042,0.00018,0.0001,6e-05,0.00037,0.00031,0.0002,0.00015,0.00029,0.00058,8e-05,0.00012,0.0005,0.00022,0.00068,5e-05,0.00022,0.00059,0.00055,0.00035,3e-05,0.00027,0.0004,0.00069,0.00043,0.00043,0.00045,0.00079,0.00026,0.00144,0.00035,0.00092,0.00065,0.00107,0.00085,4e-05,0.00081,0.00011,0.00039,0.00148,0.0015,0.00156,0.00054,0.001,0.00022,8e-05,7e-05,0.00013,9e-05,2e-05,0.00096,8e-05,0.00156,9e-05,0.0004,2e-05,0.0,0.00054,0.00021,0.00087,0.00084,0.00309,0.0012,0.00056,0.00099,0.00097,0.00065,1e-05,0.00057,7e-05,0.00161,0.00189,0.0003,0.00175,0.00728,0.00097,1e-05,0.00462,0.0055,0.00821,0.00169,0.00329,0.00335,0.00073,0.00345,0.00029,0.00689,0.00187,0.00858,0.00075,0.00369,0.01526
n_trips,4e-05,0.00024,0.00028,0.0001,0.0005,0.00017,0.0001,6e-05,0.0005,0.00037,8e-05,0.00015,0.00029,0.00047,0.00016,0.00012,0.0005,0.00022,0.00068,5e-05,0.00022,0.00059,0.00055,0.00074,0.00012,0.00027,0.00067,0.00069,0.0007,0.00043,0.00045,0.00079,0.00026,0.00147,0.00035,0.00092,0.00107,0.00107,0.00098,4e-05,0.00081,0.00011,0.00039,0.00148,0.0015,0.00156,0.00149,0.001,0.00033,8e-05,7e-05,0.00015,7e-05,2e-05,0.00097,8e-05,0.00156,9e-05,0.0004,2e-05,0.0,0.00054,0.00021,0.00087,0.00084,0.00309,0.00122,0.0005,0.00097,0.00099,0.00057,1e-05,0.00122,7e-05,0.00161,0.00189,0.0003,0.00201,0.00744,0.00097,1e-05,0.00462,0.00602,0.00821,0.00169,0.00344,0.00368,0.00073,0.0018,0.00111,0.00811,0.00187,0.00858,0.00075,0.00369,0.01526
n_complete_trips,4e-05,0.00024,0.00028,0.0001,0.00034,0.00019,0.0001,6e-05,0.00024,0.00026,0.00031,0.00015,0.00029,0.00069,1e-05,0.00012,0.0005,0.00022,0.00068,5e-05,0.00022,0.00059,0.00055,5e-05,0.00018,0.00027,0.00013,0.00069,0.00016,0.00043,0.00045,0.00079,0.00026,0.00141,0.00035,0.00092,0.00023,0.00106,0.00072,4e-05,0.00081,0.00011,0.00039,0.00148,0.0015,0.00156,0.0004,0.001,0.0001,8e-05,7e-05,0.00012,0.00011,2e-05,0.00095,8e-05,0.00156,9e-05,0.0004,2e-05,0.0,0.00054,0.00021,0.00087,0.00084,0.00309,0.00119,0.00062,0.00101,0.00095,0.00072,1e-05,8e-05,7e-05,0.00161,0.00189,0.0003,0.00148,0.00712,0.00097,1e-05,0.00462,0.00498,0.00821,0.00169,0.00314,0.00303,0.00073,0.0051,0.00052,0.00566,0.00187,0.00858,0.00075,0.00369,0.01526
n_incomplete_trips,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
n_users,0.00044,0.00013,0.0,0.0,0.00012,0.00043,0.0002,3e-05,7e-05,4e-05,0.00013,0.00039,0.00044,0.00016,4e-05,3e-05,0.00012,0.0006,0.00089,0.00063,0.00031,0.00024,9e-05,0.00074,0.00047,0.00057,0.00068,0.00029,0.00049,0.00064,0.00064,8e-05,0.00029,0.00105,0.00141,0.00065,0.00052,9e-05,0.00041,0.00037,3e-05,0.00081,0.00097,0.00101,0.00093,0.00029,0.00061,0.00118,4e-05,0.00011,1e-05,1e-05,8e-05,5e-05,0.00011,4e-05,7e-05,3e-05,4e-05,0.00035,0.00021,0.00028,0.00017,5e-05,0.00031,0.00043,8e-05,0.00028,0.00027,4e-05,0.00013,1e-05,0.00011,0.00062,7e-05,0.00033,0.00165,0.00053,0.00112,0.00041,0.00047,0.00088,0.00138,0.00048,0.00223,0.00027,9e-05,0.00173,0.00056,0.00011,0.00025,0.00013,0.0018,0.00015,0.001,0.00061
n_locations,0.05201,0.01923,0.0396,0.03341,0.02623,0.01961,0.04213,0.06573,0.07327,0.02319,0.12656,0.00162,0.02209,0.02872,0.02398,0.03965,0.06345,0.08298,0.14065,0.11442,0.20153,0.16652,0.11442,0.01057,0.22803,0.01844,0.05914,0.14304,0.1505,0.05828,0.16549,0.0,0.07906,0.02872,0.44148,0.13925,0.08298,0.00243,0.10502,0.05124,0.15801,0.13012,0.09936,0.39884,0.03419,0.14583,0.12798,0.25053,0.02291,0.13472,0.03039,0.00243,0.01631,0.01126,0.01525,0.05047,0.0,0.03624,0.068,0.01446,0.08595,0.04353,0.07251,0.13379,0.13293,0.20027,0.11192,0.22803,0.06344,0.11282,0.01764,0.08344,0.1294,0.83812,0.30812,0.27855,0.0224,0.06862,0.06042,0.00405,1.0323,0.18086,0.10792,0.02457,0.09403,0.51603,0.42748,0.38114,1.14304,0.10647,0.04043,0.2752,0.30685,0.1566,0.04551,
uid,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
tid,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
datetime,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
lat,0.01525,0.00557,0.02297,0.01701,0.02393,0.0654,0.037,0.03334,0.07806,0.03022,0.04969,0.06351,0.00403,0.07339,0.06029,0.06512,0.03126,0.04488,0.03129,0.03617,0.03022,0.01004,0.03648,0.0005,0.08632,0.05335,0.11865,0.0762,0.1481,0.12149,0.08741,0.01782,0.07105,0.14212,0.04014,0.16056,0.1883,0.10403,0.11979,0.05229,0.06243,0.02193,0.12206,0.05548,0.02762,0.16269,0.02884,0.11058,0.03129,0.01701,0.04247,0.02193,0.04921,0.00607,0.00604,0.03373,0.08549,0.07051,0.0173,0.03275,0.05495,0.18207,0.09286,0.05209,0.19551,0.04435,0.09293,0.06351,0.36516,0.24844,0.03386,0.21482,0.01987,0.26838,0.1456,2.0,0.09652,0.10459,0.27201,0.05442,0.05282,0.04805,0.13578,0.0792,0.0173,0.17087,0.01628,0.05877,0.49544,0.11583,0.42761,0.3694,0.07339,0.25291,0.47421,0.33795
