stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
n_records,0.001,0.0,0.0,0.0,0.001,0.001,0.003,0.0,0.001,0.002,0.003,0.005
n_trips,0.001,0.0,0.0,0.001,0.001,0.001,0.003,0.0,0.001,0.002,0.004,0.005
n_complete_trips,0.001,0.0,0.0,0.0,0.001,0.001,0.003,0.0,0.001,0.002,0.003,0.005
n_incomplete_trips,0.583,1.25,0.25,0.75,1.0,0.25,0.833,0.0,1.25,0.75,0.75,0.75
n_users,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001
n_locations,0.107,0.042,0.112,0.103,0.116,0.168,0.223,0.057,0.119,0.214,0.346,0.296
uid,0.833,1.5,0.75,1.25,1.0,0.5,1.417,0.5,1.0,1.25,1.25,1.75
tid,1.0,1.0,0.75,1.5,1.0,1.5,0.833,1.5,1.25,0.75,0.5,1.0
datetime,1.167,0.75,1.25,1.25,1.25,1.5,0.75,1.0,1.25,1.25,0.5,0.5
lat,0.07,0.053,0.028,0.089,0.11,0.074,0.139,0.074,0.157,0.37,0.072,0.318
lng,0.068,0.033,0.068,0.062,0.083,0.093,0.333,0.029,0.066,0.351,0.352,0.624
trips_over_time,0.018,0.007,0.01,0.013,0.019,0.03,0.051,0.01,0.023,0.028,0.061,0.088
trips_per_weekday,0.256,0.372,0.331,0.466,0.284,0.224,0.412,0.305,0.38,0.404,0.505,0.477
trips_per_hour,0.539,0.539,0.507,0.551,0.584,0.534,0.572,0.461,0.581,0.584,0.629,0.606
visits_per_tile,0.252,0.179,0.216,0.264,0.298,0.312,0.465,0.201,0.3,0.469,0.588,0.678
visits_per_tile_outliers,0.011,0.006,0.01,0.015,0.016,0.009,0.028,0.011,0.012,0.036,0.031,0.049
visits_per_tile_quartiles,0.008,0.005,0.006,0.008,0.01,0.011,0.049,0.007,0.011,0.027,0.053,0.089
visits_per_time_tile,0.88,0.739,0.824,0.914,0.967,1.013,0.977,0.693,0.882,1.067,1.163,1.23
od_flows,1.962,1.96,1.962,1.962,1.963,1.963,1.962,1.961,1.964,1.966,1.966,1.966
od_flows_quartiles,1.086,0.964,1.061,1.154,1.195,1.227,1.214,0.925,1.15,1.343,1.445,1.497
travel_time,0.17,0.08,0.126,0.155,0.185,0.255,0.295,0.097,0.17,0.286,0.376,0.452
travel_time_quartiles,0.466,0.356,0.538,0.537,0.541,0.581,0.547,0.556,0.607,0.562,0.668,0.629
jump_length,0.012,0.006,0.009,0.01,0.014,0.016,0.029,0.006,0.012,0.028,0.032,0.052
jump_length_quartiles,0.07,0.043,0.064,0.074,0.089,0.065,0.072,0.063,0.076,0.12,0.079,0.12
trips_per_user_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_time_delta,0.306,0.282,0.288,0.266,0.319,0.318,0.345,0.312,0.33,0.353,0.39,0.41
user_time_delta_quartiles,0.451,0.434,0.4,0.42,0.464,0.454,0.468,0.435,0.462,0.476,0.492,0.491
radius_of_gyration,0.013,0.006,0.009,0.014,0.015,0.019,0.015,0.003,0.006,0.011,0.021,0.024
radius_of_gyration_quartiles,0.042,0.048,0.037,0.061,0.052,0.055,0.07,0.037,0.046,0.08,0.093,0.079
user_tile_count,0.537,0.477,0.559,0.614,0.599,0.593,0.568,0.461,0.501,0.578,0.658,0.643
user_tile_count_quartiles,0.051,0.042,0.039,0.043,0.062,0.062,0.058,0.046,0.046,0.058,0.067,0.07
mobility_entropy,0.43,0.39,0.421,0.48,0.467,0.499,0.508,0.344,0.3,0.325,0.578,0.549
mobility_entropy_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.002
